T_mu,sigma,ω₀,n_B,P,e
"(1.0, 220.1118481127528)",93.0,0.0,0.0,0.0,0.0
"(2.0, 220.1118481127528)",93.0,0.0,2.1229239835443565e-159,0.0,4.672807214208355e-157
"(3.0, 220.1118481127528)",93.0,0.0,4.2344327463552736e-107,0.0,9.320488175094186e-105
"(4.0, 220.1118481127528)",93.0,0.0,6.799770663988273e-81,0.0,1.4967100875933388e-78
"(5.0, 220.1118481127528)",93.0,0.0,3.883065503627818e-65,0.0,8.547087243463962e-63
"(6.000000000000001, 220.1118481127528)",93.0,0.0,1.305491516813419e-54,0.0,2.8735415046132254e-52
"(7.0, 220.1118481127528)",93.0,0.0,4.47302048272536e-47,0.0,9.845648050988767e-45
"(8.0, 220.1118481127528)",93.0,0.0,2.0587722742806966e-41,0.0,4.5316017013521935e-39
"(9.0, 220.1118481127528)",93.0,0.0,5.3386604502438215e-37,0.0,1.1751024181496285e-34
"(10.0, 220.1118481127528)",93.0,0.0,1.8446620369758894e-33,0.0,4.060319701021982e-31
"(11.000000000000002, 220.1118481127528)",93.0,0.0,1.4693623201182787e-30,0.0,3.2342405582847657e-28
"(12.0, 220.1118481127528)",93.0,0.0,3.8894714767605927e-28,0.0,8.56118754931612e-26
"(13.0, 220.1118481127528)",93.0,0.0,4.407903695454089e-26,0.0,9.702318287094323e-24
"(14.0, 220.1118481127528)",93.0,0.0,2.563309350283928e-24,0.0,5.642147583756951e-22
"(15.0, 220.1118481127528)",93.0,0.0,8.73599319027606e-23,0.0,1.922895606212087e-20
"(16.0, 220.1118481127528)",93.0,0.0,1.9278892503399943e-21,0.0,4.2435126584904566e-19
"(17.0, 220.1118481127528)",93.0,0.0,2.973428370827706e-20,0.0,6.54486813933778e-18
"(18.0, 220.1118481127528)",93.0,0.0,3.401240719237252e-19,0.0,7.4865338058766e-17
"(19.0, 220.1118481127528)",93.0,0.0,3.0241502096650355e-18,0.0,6.656512916199397e-16
"(20.0, 220.1118481127528)",93.0,0.0,2.1700612285082745e-17,0.0,4.7765618752478705e-15
"(21.000000000000004, 220.1118481127528)",92.99999999384501,9.598261588237463e-15,1.295570317280935e-16,0.0,2.851703768967321e-14
"(22.000000000000004, 220.1118481127528)",92.99999999494466,4.887917983755245e-14,6.597696247943936e-16,0.0,1.4522311144215145e-13
"(23.0, 220.1118481127528)",92.99999999384097,2.1674225636932048e-13,2.9255801280337023e-15,1.241215383580249e-13,5.198333104254173e-13
"(24.0, 220.1118481127528)",92.99999999384303,8.513571084874341e-13,1.1491591346728727e-14,-1.7377015370123486e-12,4.2671369460973265e-12
"(25.0, 220.1118481127528)",92.99999999939635,3.005379100163638e-12,4.0566512011892634e-14,-9.929723068641993e-13,9.922142237290073e-12
"(26.0, 220.1118481127528)",92.99999999489675,9.651966232843269e-12,1.3028193508218518e-13,1.365336921938274e-12,2.731126058470719e-11
"(27.0, 220.1118481127528)",92.99999999928974,2.8496239765219662e-11,3.846413427913431e-13,1.0426209222074092e-11,7.42379076002993e-11
"(28.0, 220.1118481127528)",92.9999999946593,7.803632258589736e-11,1.0533318149790271e-12,2.755498151548153e-11,2.0429583095551235e-10
"(29.0, 220.1118481127528)",92.99999999868416,1.9975265691793485e-10,2.6962550432500544e-12,8.415440300674088e-11,5.093232775463587e-10
"(30.0, 220.1118481127528)",92.99999999322488,4.81148743051924e-10,6.494530519611906e-12,1.889129813809139e-10,1.2406101339155393e-9
"(31.0, 220.1118481127528)",92.99999999101526,1.0969544955239173e-9,1.4806657092954726e-11,4.629733380754329e-10,2.7961473190266315e-9
"(32.0, 220.1118481127528)",92.99999998644628,2.3792323386036947e-9,3.2114802867990485e-11,1.0297122822181745e-9,6.039136328831945e-9
"(33.0, 220.1118481127528)",92.99999997734102,4.931434333569097e-9,6.656434468212225e-11,2.1945929197082382e-9,1.245700800668798e-8
"(34.0, 220.1118481127528)",92.99999996002542,9.806608496952047e-9,1.3236929135609165e-10,4.500522859323625e-9,2.463552649444114e-8
"(35.0, 220.1118481127528)",92.99999992819897,1.8775822460873556e-8,2.5343545777032e-10,8.874317627983706e-9,4.690982935914295e-8
"(36.0, 220.1118481127528)",92.99999987169929,3.4719259022203395e-8,4.68639460215894e-10,1.6881149824383176e-8,8.627194786230012e-8
"(37.0, 220.1118481127528)",92.99999977962491,6.217906696534759e-8,8.392910784988979e-10,3.1060173758712154e-8,1.5367773663422574e-7
"(38.0, 220.1118481127528)",92.99999961679477,1.0811959726401028e-7,1.4593949030294416e-9,5.5461971713746415e-8,2.6576813751839565e-7
"(39.0, 220.1118481127528)",92.99999935298963,1.8294676988363553e-7,2.469409711547048e-9,9.631533484890674e-8,4.472310005072938e-7
"(40.0, 220.1118481127528)",92.9999989300659,3.0184365018821746e-7,4.074276042980012e-9,1.6297642060408267e-7,7.338200089377613e-7
"(41.00000000000001, 220.1118481127528)",92.99999828631385,4.864835466498847e-7,6.566539519920746e-9,2.692438203985358e-7,1.176129329036648e-6
"(42.0, 220.1118481127528)",92.99999729655869,7.671847970921944e-7,1.0355436124379323e-8,4.3495476261418415e-7,1.8443994207365105e-6
"(43.00000000000001, 220.1118481127528)",92.99999583125839,1.185572687864906e-6,1.6002822639440224e-8,6.881746165322374e-7,2.8342362496555514e-6
"(44.0, 220.1118481127528)",92.9999936956412,1.797813507191942e-6,2.4266829835705255e-8,1.067836957454072e-6,4.273579805520701e-6
"(45.0, 220.1118481127528)",92.99999062087443,2.6784835330545326e-6,3.615408598233325e-8,1.6271154524122664e-6,6.330827229986475e-6
"(45.99999999999999, 220.1118481127528)",92.99998627632662,3.9251318114605015e-6,5.2981305000297233e-8,2.4374802761656775e-6,9.224332682875177e-6
"(47.0, 220.1118481127528)",92.9999802283291,5.663589996707366e-6,7.644695857467864e-8,3.5936200266814924e-6,1.3233261307790076e-5
"(47.99999999999999, 220.1118481127528)",92.99997191959068,8.05407546573427e-6,1.0871365585823805e-7,5.219335139898004e-6,1.8709828566152568e-5
"(49.0, 220.1118481127528)",92.99996066916319,1.129812558452718e-5,1.5250174173745458e-7,7.474453941841919e-6,2.609298627240294e-5
"(49.99999999999999, 220.1118481127528)",92.9999456180193,1.564639165215896e-5,2.1119449946797434e-7,1.0562879820324729e-5,3.592353176881889e-5
"(51.0, 220.1118481127528)",92.99992569858077,2.140731094055949e-5,2.8895520586849013e-7,1.474193683205183e-5,4.886052755346249e-5
"(51.99999999999999, 220.1118481127528)",92.99989964701012,2.895666464654675e-5,3.908561432063662e-7,2.03330113868352e-5,6.569905664054083e-5
"(53.0, 220.1118481127528)",92.99986590158304,3.8748018829621804e-5,5.230195323717282e-7,2.7733613509840248e-5,8.738918235956857e-5
