T_mu,sigma,ω₀,n_B,P,e
"(17, 865.0023714014332)",92.76447963916885,0.07682035231773597,0.0009416324543191493,0.015537915196356484,0.7989763907782594
"(18, 865.0023714014332)",92.66936002730422,0.10883964027274706,0.0013341117881540394,0.023088543586410784,1.1309213168814398
"(19, 865.0023714014332)",92.54893403304553,0.15012354469525652,0.001840153000832395,0.03324243137505567,1.5584942780864295
"(20, 865.0023714014332)",92.3995115533537,0.20246426227361083,0.0024817241062379584,0.04659066505396754,2.1001065720059686
"(21, 865.0023714014332)",92.21726508188631,0.2679150635870586,0.003283993255213242,0.06380493299816786,2.776857020427598
"(22, 865.0023714014332)",91.9982503441525,0.3488241355313063,0.004275743562168724,0.08564477166194538,3.612883549118412
"(23, 865.0023714014332)",91.73843346610589,0.44786203935097996,0.0054897096744123105,0.11296486756554815,4.63564701910649
"(24, 865.0023714014332)",91.43372625440504,0.568037493151233,0.0069627712277204575,0.1467217308768685,5.876091892626996
"(25, 865.0023714014332)",91.0800311116857,0.7126955959631076,0.008735931077658547,0.18797890265242853,7.368622195921692
"(26, 865.0023714014332)",90.67329760356036,0.8854923936095204,0.010854003538368842,0.23790974573238802,9.150829054156208
"(27, 865.0023714014332)",90.20959416023054,1.090339887661828,0.013364940324857435,0.2977968203816511,11.26290825425867
"(28, 865.0023714014332)",89.68520175323192,1.33131588847559,0.016318725568379253,0.3690268657350927,13.746709449162159
"(29, 865.0023714014332)",89.09674330130323,1.6125325255938843,0.01976576407075294,0.4530804707598611,16.64435232300268
"(30, 865.0023714014332)",88.44137530032683,1.937953918294401,0.0237546463845055,0.5515155420138047,19.996309912385936
"(31, 865.0023714014332)",87.71708840268326,2.3111452149031475,0.028329072639448293,0.6659435183068191,23.83877149441941
"(32, 865.0023714014332)",86.92318869765677,2.7349212531896763,0.033523545965513414,0.797996788723175,28.199949969230875
"(33, 865.0023714014332)",86.06104586357138,3.2108494696241054,0.039357279357770225,0.9492849276692057,33.09485504871071
"(34, 865.0023714014332)",85.13515671858535,3.7385700940915707,0.0458258629013188,1.1213366363446706,38.51814344481305
"(35, 865.0023714014332)",84.15440987121987,4.314971595526408,0.052891156721170555,1.3155250977862962,44.435450892191085
"(36, 865.0023714014332)",83.13309454695207,4.933446280535165,0.06047216641467316,1.5329792800238307,50.775588072450546
"(37, 865.0023714014332)",82.0908082286994,5.583701004336865,0.06844272282365038,1.7744943160431865,57.428623231585384
"(38, 865.0023714014332)",81.05047153777792,6.252646469606956,0.07664238269584923,2.0404668790469582,64.25537590271878
"(39, 865.0023714014332)",80.03462850957841,6.926410107956284,0.08490110176271558,2.330884624823826,71.10876973451956
"(40, 865.0023714014332)",79.06156618376559,7.592706104978626,0.09306828553693433,2.645381535263392,77.85890615645052
"(41, 865.0023714014332)",78.1430681503112,8.242478478188293,0.10103292948966575,2.9833413344686353,84.41038226372602
"(42, 865.0023714014332)",77.28440639917982,8.870301942960843,0.1087285327012701,3.344012910737043,90.70642571485986
"(43, 865.0023714014332)",76.4858222389986,9.47382322241677,0.11612624966639645,3.7266070038818704,96.72287433950595
"(44, 865.0023714014332)",75.74439056497522,10.052834496733258,0.12322353301469809,4.13036144499782,102.4582868251788
"(45, 865.0023714014332)",75.05557472424563,10.608410367357012,0.13003355477104137,4.554577119368164,107.92475611934076
"(46, 865.0023714014332)",74.41427330630383,11.142274644158553,0.13657744469175756,4.998632964595388,113.14118057372299
"(47, 865.0023714014332)",73.81542645682565,11.656397384580183,0.14287935093506954,5.461988320474989,118.12898906265772
"(48, 865.0023714014332)",73.2543199797911,12.1527641196623,0.14896361132826208,5.94417869435225,122.90969835711584
