x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
0.0008462183794316121,0.0008471641032613204,0.0008490551321346663,0.0008518906019175001,0.0008556691290270336,0.0008603887443991822,0.0008660467846339758,0.000872639712391693,0.0008801629945055095,0.0008886108763285427,0.00089797617432676,0.0009082500568803427,0.0009194217097761397,0.0009314781273111189,0.0009444038004990623,0.0009581803536427024,0.0009727862856644353,0.0009881966087885235,0.0010043825396025864,0.0010213111743556562,0.00103894517530305,0.0010572425193602552,0.001076156183082465,0.001095633976714081,0.0011156183287137239,0.0011360461781408585,0.0011568489138362404,0.00117795234004025,0.0011992768088305737,0.0012207373495809687,0.0012422439198108912,0.0012637017795360576,0.0012850119228390317,0.0013060716148190008,0.0013267750530354533,0.0013470141101273423,0.0013666791231019485,0.0013856598720332098,0.0014038465274814243,0.001421130688894039,0.0014374065129945564,0.0014525717968670766,0.0014665291291835673,0.001479186994140825,0.0014904608681983874,0.0015002742384957572,0.0015085595734828307,0.0015152591722835849,0.001520325941324544,0.0015237239716240532,0.0015254290866647496
0.000896073159532941,0.0008970688131132767,0.0008990596669820902,0.0009020447609351608,0.0009060226026592327,0.0009109910259852183,0.0009169471402466111,0.0009238871079778095,0.0009318060430103346,0.0009406977483281408,0.0009505545128806575,0.0009613668413702002,0.0009731232151938881,0.0009858097619079864,0.0009994099362355534,0.0010139042352075103,0.0010292698248050528,0.0010454802251874309,0.001062504950615365,0.0010803091948029476,0.0010988535105599514,0.0011180935199680382,0.0011379796078005583,0.001158456768977181,0.0011794643301592828,0.001200935889923367,0.0012227992387026706,0.0012449763378106248,0.0012673834384734103,0.00128993124020904,0.0013125251491242803,0.001335065690618767,0.0013574489168760137,0.0013795670266022557,0.0014013090097137173,0.0014225614580985028,0.0014432094071606244,0.0014631372994996284,0.0014822300229390178,0.0015003739999409971,0.0015174583456604232,0.0015333760035327606,0.001548024954838473,0.0015613093681925898,0.001573140747172449,0.0015834389872125974,0.0015921333989868743,0.001599163588554239,0.0016044802599286389,0.0016080458375485236,0.001609834998013516
0.0009483197383435796,0.0009493673978555151,0.0009514622169178297,0.0009546031476964964,0.0009587885593586228,0.0009640161015387586,0.000970282626514691,0.0009775839952054803,0.000985914927977371,0.0009952687660821948,0.0010056372267655755,0.0010170101743868123,0.0010293752816912017,0.0010427177736231823,0.0010570200657602931,0.0010722614276955623,0.0010884176368625362,0.0011054606545780642,0.0011233582165653445,0.0011420735253807504,0.0011615649417235658,0.001181785600528067,0.0012026832203128391,0.0012241998246520442,0.0012462715157777354,0.0012688284367227882,0.0012917946102111429,0.001315087998236143,0.0013386205985029714,0.0013622986055384062,0.001386022705975961,0.001409688491508243,0.0014331868748182275,0.0014564048043951984,0.001479225874592108,0.0015015311825606783,0.0015232002766640761,0.001544112044938884,0.001564145909268421,0.0015831829439660462,0.0016011069928690044,0.0016178060105957687,0.0016331731884525159,0.0016471082184868731,0.001659518490640154,0.0016703201912229748,0.0016794393459085405,0.0016868127798127437,0.0016923889051694472,0.0016961284260925793,0.0016980048601348376
0.0010030453616375694,0.0010041471629645368,0.0010063502076921563,0.0010096533714034123,0.0010140548581837664,0.0010195521224245878,0.0010261417583549862,0.0010338193038056571,0.0010425790575019794,0.00105241386569909,0.0010633148693463094,0.001075271223696589,0.0010882697867614472,0.0011022948205504277,0.0011173276219336445,0.0011333462045182794,0.0011503248952535812,0.0011682340021575087,0.0011870394107976086,0.0012067022712564965,0.0012271785861724706,0.0012484189704402137,0.0012703683200545287,0.001292965559771251,0.0013161434775291166,0.0013398285649535856,0.0013639409449939842,0.0013883944411833247,0.00141309660395207,0.0014379489431077762,0.0014628472645768257,0.0014876819984576527,0.0015123387755652897,0.0015366990526315555,0.0015606408479734133,0.0015840395821681503,0.0016067690313067917,0.0016287024025072306,0.0016497134536146265,0.001669677643683943,0.0016884734408485987,0.0017059835660182805,0.001722096267607143,0.0017367066366015076,0.0017497177584077383,0.0017610419986272574,0.0017706019854785214,0.0017783316411228843,0.0017841770399650342,0.001788097080895245,0.001790064075625469
0.001060339374828894,0.0010614975077230728,0.0010638131754938586,0.0010672851389118122,0.0010719114505099972,0.0010776893614928248,0.001084615182968175,0.001092684097034415,0.0011018899802795715,0.001112225147097989,0.0011236801366977713,0.0011362433433427172,0.0011499007782872102,0.0011646356833858711,0.0011804282225274113,0.0011972550470851291,0.00121508897977935,0.0012338986013527048,0.0012536478659174823,0.0012742957468368794,0.0012957958535618137,0.0013180961302638268,0.0013411385192174732,0.0013648587540138373,0.001389186130059809,0.0014140433700303358,0.0014393465588287367,0.0014650051622049336,0.0014909221466568566,0.0015169941659851165,0.0015431119054820305,0.0015691605036966098,0.00159502006642185,0.0016205663849860727,0.001645671652558325,0.0016702054174017923,0.001694035515150674,0.0017170292339390642,0.0017390544240475036,0.0017599808051510222,0.001779681212002899,0.0017980329935326402,0.0018149192589021054,0.0018302303113575163,0.0018438648385550116,0.0018557311879094525,0.0018657485046648075,0.0018738477203980855,0.001879972455258796,0.0018840797705178382,0.0018861407153228764
0.0011202932278122205,0.0011215099600982382,0.0011239427489526184,0.0011275902788111765,0.0011324504278162142,0.0011385202112170984,0.001145795651911497,0.0011542715663357252,0.0011639413816337194,0.0011747968584936415,0.0011868278663637742,0.0012000220501861892,0.0012143644976269033,0.0012298373991069856,0.0012464196981521827,0.001264086656967535,0.0012828095019462638,0.0013025550305768583,0.0013232851550481792,0.001344956595048652,0.0013675204502916884,0.0013909218688629354,0.001415099757148241,0.0014399865070145123,0.001465507771522096,0.0014915823534636368,0.0015181221328770989,0.0015450320728794783,0.0015722103569452248,0.0015995486027676517,0.0016269322086821499,0.001654240767487397,0.00168134869524507,0.0017081258837867723,0.0017344385183026083,0.0017601500381660103,0.0017851221364844874,0.0018092159346617433,0.0018322932212547498,0.0018542177192546546,0.0018748564858053686,0.0018940812468824682,0.001911769840206078,0.0019278075906316383,0.0019420886331613823,0.0019545171863071973,0.001965008764013326,0.0019734911997831795,0.001979905603284033,0.0019842071183572615,0.0019863654782139783
0.00118300050413146,0.001184278139877433,0.001186832713061604,0.0011906627556985392,0.0011957659916474678,0.0012021391941207573,0.001209778081049456,0.0012186770788800052,0.0012288291176495803,0.0012402254007406362,0.0012528551064927295,0.0012667050417793052,0.001281759373532809,0.0012979991722256684,0.0013154020933744274,0.0013339419606154964,0.0013535883342586873,0.0013743061139741678,0.0013960551247230097,0.0014187897241607636,0.0014424583709427479,0.0014670033279494503,0.0014923603244277018,0.0015184582652980323,0.0015452190376491932,0.0015725573732114923,0.0016003807629611762,0.0016285895027971554,0.0016570768120770748,0.0016857290714341797,0.0017144261869499104,0.001743042043321638,0.001771445112554689,0.0017994991859070575,0.0018270642235013337,0.001853997325079257,0.0018801538343110416,0.0019053884973458167,0.0019295568090338304,0.0019525162952260628,0.001974128014520719,0.0019942578964175345,0.0020127783177854323,0.002029569462738098,0.0020445207196218957,0.0020575320747766184,0.002068515279153831,0.0020773949599493654,0.0020841096201540702,0.002088612422257203,0.002090871767149285
0.0012485569256963864,0.001249897858834425,0.001252578975044046,0.0012565986832112491,0.0012619545098420178,0.0012686430201210215,0.001276659552291522,0.00128599814218948,0.0012966512248553756,0.001308609375368437,0.001321861063085993,0.0013363922448971944,0.0013521860591392983,0.0013692224428068444,0.001387477712144977,0.0014069241559031638,0.0014275296028957564,0.001449256999864638,0.001472063950740073,0.0014959023601636495,0.001520717950903737,0.0015464499813548666,0.001573030861381568,0.0016003858792509873,0.0016284330066379477,0.001657082723985947,0.0016862379852566399,0.001715794236423948,0.0017456395394714747,0.0017756548592373828,0.0018057143930811988,0.001835686093559611,0.001865432284441665,0.0018948104570725539,0.0019236740926788086,0.001951873754141351,0.001979258171065981,0.0020056755301508895,0.0020309747862824693,0.0020550070649845748,0.002077627204256273,0.0020986951696815035,0.0021180776575828635,0.002135649540789292,0.002151295342827578,0.002164910620636297,0.0021764032453759677,0.0021856945407476795,0.0021927203293376583,0.0021974316862832526,0.002199795661039673
0.0013170603712767458,0.0013184670723219497,0.001321279625917521,0.0013254963409074997,0.0013311145615874512,0.001338130542465834,0.0013465393219082736,0.001356334487423734,0.0013675079249390095,0.001380049603820221,0.0013939471951990845,0.00140918577966669,0.0014257474427614057,0.0014436109121616235,0.0014627511030285627,0.0014831387081569508,0.0015047397417042485,0.0015275150916083822,0.0015514200939749894,0.001576404050368755,0.0016024098730740561,0.0016293736643229462,0.001657224387373078,0.0016858835708502002,0.0017152651168562585,0.0017452751077121603,0.0017758117735620536,0.0018067655096262207,0.001838019064865816,0.0018694477510035378,0.0019009198623026696,0.0019322971993599727,0.0019634357500364456,0.0019941864171819034,0.002024396029853151,0.0020539083459677697,0.0020825652955054445,0.0021102082292947634,0.002136679355099415,0.002161823193439712,0.002185488120423313,0.0022075279495501077,0.0022278035115311573,0.0022461841828454376,0.002262549432294209,0.0022767902763260544,0.0022888105645636485,0.0022985282130753657,0.002305876238183573,0.0023108036131514868,0.0023132759607813573
0.001388610933349921,0.0013900859053372326,0.0013930349402457086,0.0013974562144817074,0.0014033468500391194,0.0014107028515697464,0.0014195188675734617,0.0014297880250683222,0.0014415016753896565,0.0014546490965466165,0.0014692171753469179,0.0014851900409900585,0.0015025486771875112,0.0015212705457020978,0.001541329101032774,0.0015626933686496431,0.0015853274625335348,0.0016091901533571739,0.0016342343559873494,0.0016604067169049194,0.0016876471909503662,0.0017158885880319385,0.001745056319917712,0.0017750679942340384,0.001805833281531378,0.0018372536865283037,0.0018692225496009596,0.001901625050630829,0.0019343383821542812,0.0019672320210646164,0.0020001681603067797,0.0020330022156655986,0.0020655835829071698,0.002097756387845314,0.0021293605386439787,0.002160232785566932,0.002190207980439014,0.0022191204398729894,0.0022468053793698057,0.002273100491275707,0.0022978474893506594,0.0023208938149430164,0.002342094194838947,0.0023613123917484904,0.002378422626490144,0.002393311208575512,0.0024058778638132794,0.0024160369469766424,0.0024237186168619114,0.0024288696542494495,0.0024314542010474326
