T_mu,sigma,ω₀,n_B,P,e
"(1, 300.1118481127528)",92.99999999490393,3.671973959035432e-94,3.2621456117314535e-281,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 300.1118481127528)",92.99999999490393,5.866928671931198e-94,4.997050424293405e-142,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 300.1118481127528)",92.99999999490393,1.1773902830770281e-70,1.6142916906578813e-95,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 300.1118481127528)",92.99999999490393,1.2187105377068233e-56,3.299038077311838e-72,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 300.1118481127528)",92.99999999490393,2.827836303358029e-47,3.450605628895943e-58,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 300.1118481127528)",92.99999999490393,1.4355058281083137e-40,8.060882006751157e-49,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 300.1118481127528)",92.99999999490393,1.2332703579834558e-35,4.1113801104707423e-42,1.9859446137283985e-12,-1.9859446137283985e-12
"(8, 300.1118481127528)",92.99999999490393,1.052938043102556e-31,4.535012882971172e-37,1.9859446137283985e-12,-1.9859446137283985e-12
"(9, 300.1118481127528)",92.99999999490393,1.4969726776590675e-28,3.871287113139677e-33,1.9859446137283985e-12,-1.9859446137283985e-12
"(10, 300.1118481127528)",92.99999999490393,5.777534318287225e-26,5.499218875654451e-30,1.9859446137283985e-12,-1.985944613728397e-12
"(11, 300.1118481127528)",92.99999999490393,8.393323600006456e-24,2.116712954067176e-27,1.9859446137283985e-12,-1.985944613727763e-12
"(12, 300.1118481127528)",92.99999999490393,5.757921551384398e-22,3.0564228895823827e-25,1.9859446137283985e-12,-1.9859446136366715e-12
"(13, 300.1118481127528)",92.99999999490393,2.1929884618644558e-20,2.0741391373068797e-23,1.9859446137283985e-12,-1.9859446075036612e-12
"(14, 300.1118481127528)",92.99999999490393,5.219209846181641e-19,7.771519601461695e-22,1.9859446137283985e-12,-1.9859443804958874e-12
"(15, 300.1118481127528)",92.99999999490393,8.477365514365989e-18,1.8095452234187662e-20,1.9859446137283985e-12,-1.985939183068786e-12
"(16, 300.1118481127528)",92.99999999490393,1.1052601116620662e-17,2.861358094539758e-19,1.9859446137283985e-12,-1.9858587409818123e-12
"(17, 300.1118481127528)",93.0,0.0,3.2886062154298872e-18,0.0,9.869496890277491e-16
"(18, 300.1118481127528)",93.0,0.0,2.8963352110407194e-17,0.0,8.692245129394701e-15
"(19, 300.1118481127528)",93.0,0.0,2.0380918343018053e-16,0.0,6.116555070158251e-14
