T_mu,sigma,ω₀,n_B,P,e
"(1, 690.1118481127528)",92.99999999999444,7.711461687357401e-38,7.747968363957571e-112,3.971889227456797e-12,-3.971889227456797e-12
"(2, 690.1118481127528)",92.99999999999444,1.2321053865109286e-37,2.432586158035855e-57,3.971889227456797e-12,-3.971889227456797e-12
"(3, 690.1118481127528)",92.99999999999444,1.8991359132465253e-28,4.6376449208114445e-39,3.971889227456797e-12,-3.971889227456797e-12
"(4, 690.1118481127528)",92.99999999999444,6.680228188049377e-23,7.279498636849589e-30,3.971889227456797e-12,-3.971889227456792e-12
"(5, 690.1118481127528)",92.99999999999444,3.5041847420372084e-19,2.5873998285915743e-24,3.971889227456797e-12,-3.971889225671202e-12
"(6, 690.1118481127528)",92.99999999999444,1.6523307574575487e-16,1.36622825481421e-20,3.971889227456797e-12,-3.971879798953738e-12
"(7, 690.1118481127528)",92.99999999999365,2.0098300941600074e-16,6.462409014886035e-18,5.9578338411851955e-12,-5.953374056156672e-12
"(8, 690.1118481127528)",92.99999999999444,0.0,6.736507668671692e-16,3.971889227456797e-12,-3.5069948517515216e-12
"(9, 690.1118481127528)",92.99999999999444,0.0,2.5543679372504425e-14,4.2201323041728465e-12,1.3407863475185782e-11
"(10, 690.1118481127528)",92.99999999999444,0.0,4.761968509875308e-13,8.688507685061743e-12,3.1994058121541626e-10
"(11, 690.1118481127528)",92.99999999999444,8.195096457810259e-10,5.289033327083421e-12,6.206076917901246e-11,3.5879637949044695e-9
"(12, 690.1118481127528)",92.99999999160563,7.461092144296729e-10,3.979102505432944e-11,4.813433257524206e-10,2.6978914512791717e-8
"(13, 690.1118481127528)",92.99999999999444,0.0,2.2165292192696354e-10,2.885577523747363e-9,1.5007973006686116e-7
"(14, 690.1118481127528)",92.99999999999444,0.0,9.743400343370532e-10,1.3644680711697677e-8,6.587589210748892e-7
"(15, 690.1118481127528)",92.99999925647995,2.896361624452398e-7,3.5418260140894752e-9,5.312947976492241e-8,2.3911266165121905e-6
"(16, 690.1118481127528)",92.99999798932713,9.28997259247347e-7,1.102812067541356e-8,1.7644993771438463e-7,7.4341868028057275e-6
"(17, 690.1118481127528)",92.99999367671079,2.4216281250832537e-6,3.021619369610593e-8,5.136772347377628e-7,2.0338876039814818e-5
"(18, 690.1118481127528)",92.99998445513414,5.688501819849266e-6,7.439856877568741e-8,1.3391725981385557e-6,5.0004161196594834e-5
"(19, 690.1118481127528)",92.99996508318748,1.2314300214140182e-5,1.6737567969759784e-7,3.1801350630432496e-6,0.00011232780458219415
"(20, 690.1118481127528)",92.9999273776407,2.486609265315081e-5,3.4866436123973737e-7,6.973262216769129e-6,0.00023364414448943845
"(21, 690.1118481127528)",92.9998586205621,4.727283235900196e-5,6.798329456458681e-7,1.4276394302253925e-5,0.00045488437622535276
"(22, 690.1118481127528)",92.99974008533876,8.525644654248043e-5,1.2517654588282287e-6,2.753848725249221e-5,0.0008363196869431647
"(23, 690.1118481127528)",92.9995454457314,0.0001467990248310573,2.1925727699266597e-6,5.0428058885206084e-5,0.0014626923874905787
"(24, 690.1118481127528)",92.99923912858064,0.00024262753400028497,3.67582141589233e-6,8.821651369799936e-5,0.0024485113969558918
"(25, 690.1118481127528)",92.9987746900461,0.0003866967281705122,5.928741282987017e-6,0.00014821008209819735,0.003943284521686346
"(26, 690.1118481127528)",92.99809327425608,0.0005510568222554953,9.240173440720634e-6,0.00024022166023889328,0.006136531509819198
"(27, 690.1118481127528)",92.99712221078785,0.0008790585285047623,1.3967482602672977e-5,0.0003770730772571511,0.00926205215515622
"(28, 690.1118481127528)",92.99577379176968,0.001225176078308282,2.0543869528111883e-5,0.0005751159268742141,0.013602451840558343
"(29, 690.1118481127528)",92.99394425535395,0.0018354149294773356,2.9482178521692963e-5,0.0008547633189604152,0.01949123738703522
"(30, 690.1118481127528)",92.9915129889366,0.0024679238282281934,4.1382382524506114e-5,0.001241017769182543,0.027317454714113256
"(31, 690.1118481127528)",92.98834195178256,0.0033951781790561237,5.6930672064309517e-5,0.0017639945817981503,0.03752453673080356
"(32, 690.1118481127528)",92.98427530745023,0.004586428077252444,7.69056641631684e-5,0.002459423289251338,0.05061408673673151
"(33, 690.1118481127528)",92.97913924695183,0.006093592760581111,0.00010217794556001529,0.0033691302776739994,0.0671450805691124
"(34, 690.1118481127528)",92.97274197806449,0.007974131898324271,0.00013371100547875017,0.004541493092816873,0.08773405601113783
"(35, 690.1118481127528)",92.96487385202828,0.010291035624685321,0.00017256106850746612,0.006031865177747724,0.11305457272225106
"(36, 690.1118481127528)",92.95530759671607,0.013112779301140564,0.00021987633604915772,0.007902969236100036,0.1438362953910449
"(37, 690.1118481127528)",92.94379862470453,0.01651325133515062,0.00027689577597908354,0.010225258841060306,0.18086379685447984
"(38, 690.1118481127528)",92.93008538520023,0.0205716623066175,0.0003449475988683956,0.013077248790551964,0.22497517616657303
"(39, 690.1118481127528)",92.91388973065806,0.02537244332381,0.0004254475536066521,0.01654581577453328,0.2770605817200029
"(40, 690.1118481127528)",92.8949172698925,0.03100514103283899,0.0005198971669106763,0.020726471391988403,0.3380607232933227
"(41, 690.1118481127528)",92.87285768305506,0.03756431610273389,0.0006298820411126104,0.025723610185231664,0.4089654493000248
"(42, 690.1118481127528)",92.84738497552404,0.045149451368399075,0.000757070313892182,0.03165073582162204,0.49081245764981357
"(43, 690.1118481127528)",92.8181576501698,0.05386487517970499,0.0009032113729870124,0.038630668579843305,0.5846862012686806
"(44, 690.1118481127528)",92.78481878015825,0.06381970491126117,0.0010701349089590722,0.04679573784130937,0.6917170419104083
"(45, 690.1118481127528)",92.74699596592379,0.0751278150666263,0.0012597503803630657,0.05628796308046786,0.8130807000726307
"(46, 690.1118481127528)",92.70430116201607,0.08790783397442894,0.0014740469583464652,0.06725922707466918,0.9499980435547919
"(47, 690.1118481127528)",92.65633036061502,0.10228317274011707,0.0017150940121156027,0.0798714450949802,1.1037352532932343
"(48, 690.1118481127528)",92.60266357444227,0.11838207606492748,0.0019850421178706865,0.09429673372810872,1.2756043508172836
"(49, 690.1118481127528)",92.54286192563521,0.1363377949951119,0.002286125171491303,0.11071758296396556,1.4669644841509812
"(50, 690.1118481127528)",92.47647175674034,0.15628858156983594,0.002620662007247356,0.12932703540407933,1.67922286569627
"(51, 690.1118481127528)",92.40301738754745,0.1783780758077816,0.0029910607068038553,0.15032887613602336,1.9138375560538217
"(52, 690.1118481127528)",92.3220049572644,0.2027553878186049,0.0033998217131517455,0.17393783700469956,2.1723194087123168
"(53, 690.1118481127528)",92.23291886952288,0.22957545250167907,0.003849543135149507,0.20037981910764346,2.4562355082801433
"(54, 690.1118481127528)",92.13521981656997,0.25899940494220525,0.004342926769182697,0.229892137270019,2.7672130816289986
"(55, 690.1118481127528)",92.0283439480061,0.29119495081683233,0.004882784762200404,0.2627237904605188,3.10694382571839
"(56, 690.1118481127528)",91.91170024342946,0.3263368690325514,0.005472047796488668,0.2991357621493512,3.4771892556467603
"(57, 690.1118481127528)",91.78466843908633,0.36460755183627436,0.006113774262069681,0.3394013548954721,3.8797867000456168
"(58, 690.1118481127528)",91.6465963996499,0.40619763936159026,0.006811160822922652,0.3838065634010673,4.316656219899262
"(59, 690.1118481127528)",91.49679746250152,0.45130672602575245,0.007567554299276653,0.43265049054038757,4.789808392627031
"(60, 690.1118481127528)",91.33454754527493,0.5001441570333012,0.008386465021765196,0.4862458108782282,5.3013530644251095
"(61, 690.1118481127528)",91.15908203173917,0.5529299215456597,0.009271581748574306,0.5449192862981062,5.853509129138977
"(62, 690.1118481127528)",90.96959332818035,0.6098955871476855,0.010226787705167346,0.6090123379858355,6.44861502548398
"(63, 690.1118481127528)",90.76522582237574,0.6712855156103142,0.011256179656926301,0.6788816787490799,7.089141266981502
"(64, 690.1118481127528)",90.5450769256479,0.7373577295801966,0.012364084852983645,0.7549000087739324,7.777701439341504
"(65, 690.1118481127528)",90.3081912454436,0.8083853854654428,0.013555083372509798,0.837456776413984,8.517066861111198
"(66, 690.1118481127528)",90.05356109393828,0.884657869259511,0.014834027667416138,0.9269590033314439,9.310179245184814
"(67, 690.1118481127528)",89.78012623112541,0.9664820260362137,0.01620606294561562,1.023832169831248,10.160163880199152
"(68, 690.1118481127528)",89.4867760676195,1.0541832527887482,0.01767664549421242,1.128521150780653,11.070341339664244
"(69, 690.1118481127528)",89.17235491390673,1.1481063566975591,0.019251557075296417,1.241491185067214,12.04423644721374
"(70, 690.1118481127528)",88.83567149010956,1.2486160020290216,0.020936912412995168,1.363228850564283,13.085582468542645
"(71, 690.1118481127528)",88.47551428606843,1.356096493704258,0.02273915556094173,1.4942430019931048,14.198317666691773
"(72, 690.1118481127528)",88.09067472982562,1.4709505548367745,0.02466503943138607,1.6350656091178004,15.386570336649962
"(73, 690.1118481127528)",87.6799803255402,1.5935966672195905,0.02672158115999261,1.786252407539167,16.65462735127825
"(74, 690.1118481127528)",87.24234031400576,1.7244644093977008,0.02891598396454287,1.9483832431855692,18.006879890583832
"(75, 690.1118481127528)",86.77680598296045,1.863987171386149,0.03125551496697735,2.1220619559691034,19.447739241607444
"(76, 690.1118481127528)",86.28264721568118,2.012591565199218,0.03374732778248832,2.3079156119652935,20.98151513287457
"(77, 690.1118481127528)",85.75944428594693,2.1706830936823263,0.03639822149078625,2.5065928631702965,22.612251037853525
"(78, 690.1118481127528)",85.20719338754841,2.338627514611279,0.03921432974942322,2.718761202660818,24.34351237321654
"(79, 690.1118481127528)",84.62641452659717,2.516728919261584,0.042200751044607694,2.945102906429496,26.178135388710903
"(80, 690.1118481127528)",84.01825271443829,2.7052050596031902,0.045361136880874356,3.186309530689842,28.11794847466591
"(81, 690.1118481127528)",83.38455034028811,2.9041631147350153,0.04869728457426042,3.443074979567185,30.163498076048324
"(82, 690.1118481127528)",82.72787204945956,3.11357909488382,0.05220879171970832,3.716087371052569,32.31381837036913
"(83, 690.1118481127528)",82.05146301677647,3.333284980489094,0.05589284355513971,4.006020181753176,34.56629338036125
"(84, 690.1118481127528)",81.35913291666,3.5629680948770384,0.059744189403041104,4.313523383414231,36.91664957951681
"(85, 690.1118481127528)",80.65506891208106,3.80218223105143,0.0637553548912459,4.639215418762911,39.35911037231923
"(86, 690.1118481127528)",79.94360616709055,4.050373607544648,0.06791705160321905,4.983676834692796,41.8866851655739
"(87, 690.1118481127528)",79.22898468963352,4.306914284233268,0.07221875018367888,5.347446180135404,44.49156897751643
"(88, 690.1118481127528)",78.51513220503229,4.571140002608367,0.0766493123375443,5.7310184328489795,47.16558016098534
"(89, 690.1118481127528)",77.80550018694407,4.8423861029227275,0.08119759279054187,6.134845842505606,49.90057498048198
"(90, 690.1118481127528)",77.10296566130648,5.120017378824719,0.0858529405483922,6.559340770261095,52.68879069750414
