T_mu,sigma,ω₀,n_B,P,e
"(1, -9.888151887247204)",92.99999970072754,0.0,0.0,3.971889227456797e-12,-3.971889227456797e-12
"(2, -9.888151887247204)",92.99999970072754,-1.4520058508975075e-136,-7.779515369477051e-206,3.971889227456797e-12,-3.971889227456797e-12
"(3, -9.888151887247204)",93.00000000000573,-1.3563852769590576e-102,-4.947421488878457e-138,7.943778454913594e-12,-7.943778454913594e-12
"(4, -9.888151887247204)",92.99999970072754,-3.536178806579995e-82,-4.6216364138424125e-104,3.971889227456797e-12,-3.971889227456797e-12
"(5, -9.888151887247204)",92.99999970072754,-1.5041017110752546e-68,-1.2048865106278694e-83,3.971889227456797e-12,-3.971889227456797e-12
"(6, -9.888151887247204)",92.99999970072754,-8.359661538496304e-59,-5.1249390552087194e-70,3.971889227456797e-12,-3.971889227456797e-12
"(7, -9.888151887247204)",92.99999970072754,-1.7252823811859464e-51,-2.848393185043451e-60,3.971889227456797e-12,-3.971889227456797e-12
"(8, -9.888151887247204)",92.99999970072754,-8.507692874740202e-46,-5.87856409806811e-53,3.971889227456797e-12,-3.971889227456797e-12
"(9, -9.888151887247204)",92.99999970072754,-3.066867704078425e-41,-2.8988281774212414e-47,3.971889227456797e-12,-3.971889227456797e-12
"(10, -9.888151887247204)",92.99999970072754,-1.6476990616070727e-37,-1.0449653964886253e-42,3.971889227456797e-12,-3.971889227456797e-12
"(11, -9.888151887247204)",92.99999970072754,-2.1223255147594897e-34,-5.613862502472698e-39,3.971889227456797e-12,-3.971889227456797e-12
"(12, -9.888151887247204)",92.99999970072754,-9.111123729904265e-32,-7.229535055944899e-36,3.971889227456797e-12,-3.971889227456797e-12
"(13, -9.888151887247204)",92.99999994461125,-2.021888985906159e-29,-3.102024207668152e-33,7.943778454913594e-12,-7.943778454913594e-12
"(14, -9.888151887247204)",92.99999970072754,-1.5034408823572775e-27,-5.611308152518152e-31,3.971889227456797e-12,-3.971889227456797e-12
"(15, -9.888151887247204)",92.99999970072754,-9.53953463836944e-26,-5.085616138998798e-29,3.971889227456797e-12,-3.971889227456796e-12
"(16, -9.888151887247204)",92.99999970072754,-3.1280430327011545e-24,-2.628652050380462e-27,3.971889227456797e-12,-3.971889227456771e-12
"(17, -9.888151887247204)",92.99999970072754,-1.687798332905241e-24,-8.555702695906643e-26,3.971889227456797e-12,-3.9718892274559504e-12
"(18, -9.888151887247204)",92.99999992439497,-8.899899004496208e-22,-1.893989533175954e-24,3.971889227456797e-12,-3.971889227438069e-12
"(19, -9.888151887247204)",92.99999970074312,-1.1899686286725974e-20,-3.030547469168404e-23,1.1915667682370391e-11,-1.1915667682070727e-11
"(20, -9.888151887247204)",92.99999999892061,-1.1037844628184887e-19,-3.6797979269637007e-22,3.971889227456797e-12,-3.971889223818157e-12
"(21, -9.888151887247204)",92.99999999899019,-1.056833820551134e-18,-3.526936073640752e-21,7.943778454913594e-12,-7.943778420038714e-12
"(22, -9.888151887247204)",92.99999992439497,-6.374698111776052e-18,-2.755760149342415e-20,3.971889227456797e-12,-3.9718889549630475e-12
"(23, -9.888151887247204)",92.99999992439497,-3.6538977097559864e-17,-1.8026843136203415e-19,3.971889227456797e-12,-3.9718874449351675e-12
"(24, -9.888151887247204)",92.99999992439497,-1.8367508207742125e-16,-1.0094128095156695e-18,3.971889227456797e-12,-3.97187924622962e-12
"(25, -9.888151887247204)",92.99999990236742,-8.317870177513199e-16,-4.929275474791618e-18,3.971889227456797e-12,-3.9718404860322084e-12
"(26, -9.888151887247204)",92.99999999863691,-3.275955116862103e-15,-2.1326093787806834e-17,0.0,2.10875654535513e-16
"(27, -9.888151887247204)",92.99999992439788,-1.1876324574911437e-14,-8.284907021898307e-17,3.971889227456797e-12,-3.971070003266754e-12
"(28, -9.888151887247204)",92.99999991287706,-3.951550918905369e-14,-2.9235648490377837e-16,3.971889227456797e-12,-3.968998362128847e-12
"(29, -9.888151887247204)",92.99999999863134,-1.2157142918788235e-13,-9.464499234481894e-16,8.067899993271618e-12,-8.05854135267489e-12
"(30, -9.888151887247204)",92.99999992438336,-3.483821882018612e-13,-2.835167968879181e-15,-3.7236461507407475e-12,3.751680722242883e-12
"(31, -9.888151887247204)",92.99999999863905,-9.359766361664002e-13,-7.917911272858683e-15,-3.2271599973086477e-12,3.305453506604421e-12
"(32, -9.888151887247204)",92.99999999861838,-2.3711064061028973e-12,-2.0751096685660842e-14,6.206076917901245e-12,-6.000886922046479e-12
"(33, -9.888151887247204)",92.99999992434512,-5.6927217289265724e-12,-5.1330201327038434e-14,9.805601530283968e-12,-9.298040703159233e-12
"(34, -9.888151887247204)",92.99999992427703,-1.3011613863351222e-11,-1.2045228191563824e-13,1.8494109215345712e-11,-1.730305875659836e-11
"(35, -9.888151887247204)",92.99999999839099,-2.9155690771848775e-11,-2.693541860990648e-13,4.2201323041728465e-11,-3.9537907938115065e-11
"(36, -9.888151887247204)",92.99999999809957,-5.982032838749625e-11,-5.7628642655243e-13,8.142372916286434e-11,-7.572532144655498e-11
"(37, -9.888151887247204)",92.99999992323605,-1.2024759494089106e-10,-1.1838877053796772e-12,1.7575609831496327e-10,-1.6404963686672446e-10
