T_mu,sigma,ω₀,n_B,P,e
"(1, 370.1118481127528)",92.99999999940911,0.0,8.205757475995462e-251,3.971889227456797e-12,-3.971889227456797e-12
"(2, 370.1118481127528)",92.99999999940911,0.0,7.925388550436177e-127,3.971889227456797e-12,-3.971889227456797e-12
"(3, 370.1118481127528)",92.99999999940911,0.0,2.195431499782838e-85,3.971889227456797e-12,-3.971889227456797e-12
"(4, 370.1118481127528)",92.99999999940911,0.0,1.3138348058182362e-64,3.971889227456797e-12,-3.971889227456797e-12
"(5, 370.1118481127528)",92.99999999940911,0.0,4.1497133680843964e-52,3.971889227456797e-12,-3.971889227456797e-12
"(6, 370.1118481127528)",92.99999999940911,0.0,9.400514252666175e-44,3.971889227456797e-12,-3.971889227456797e-12
"(7, 370.1118481127528)",92.99999999940911,0.0,9.055921795037642e-38,3.971889227456797e-12,-3.971889227456797e-12
"(8, 370.1118481127528)",92.99999999940911,0.0,2.8619076882088692e-33,3.971889227456797e-12,-3.971889227456797e-12
"(9, 370.1118481127528)",92.99999999940911,0.0,9.240637155638623e-30,3.971889227456797e-12,-3.971889227456794e-12
"(10, 370.1118481127528)",92.99999999940911,0.0,6.030636115401222e-27,3.971889227456797e-12,-3.971889227454565e-12
"(11, 370.1118481127528)",92.99999999940911,0.0,1.2284430459649817e-24,3.971889227456797e-12,-3.971889227002136e-12
"(12, 370.1118481127528)",92.99999999940911,0.0,1.0437558981824088e-22,3.971889227456797e-12,-3.9718891888261546e-12
"(13, 370.1118481127528)",92.99999999940911,0.0,4.5221788938067754e-21,3.971889227456797e-12,-3.971887553744809e-12
"(14, 370.1118481127528)",92.99999999940911,0.0,1.1533988277226997e-19,3.971889227456797e-12,-3.971846538799623e-12
"(15, 370.1118481127528)",92.99999999940911,0.0,1.924323958696602e-18,3.971889227456797e-12,-3.9711770123600756e-12
"(16, 370.1118481127528)",92.99999999940911,0.0,2.2730643083311705e-17,3.971889227456797e-12,-3.963476347136441e-12
"(17, 370.1118481127528)",92.99999999383938,4.9876357415745615e-15,2.0196884950736553e-16,5.9578338411851955e-12,-5.883082777032818e-12
"(18, 370.1118481127528)",92.99999999940911,0.0,1.4150535820200577e-15,3.971889227456797e-12,-3.4481611310367827e-12
"(19, 370.1118481127528)",92.99999999940911,0.0,8.114412311405416e-15,4.096010765814822e-12,-1.0927706288916897e-12
"(20, 370.1118481127528)",92.99999999940911,5.059351498396692e-12,3.923666461109358e-14,4.716618457604946e-12,9.805335995387144e-12
"(21, 370.1118481127528)",92.99999999379546,2.0631322928913586e-11,1.6389832010487222e-13,1.141918152893829e-11,4.924152862765151e-11
"(22, 370.1118481127528)",92.9999999992425,7.15020002571339e-11,6.032535466014869e-13,1.3281004604308664e-11,2.0999028040894028e-10
"(23, 370.1118481127528)",92.99999999888566,2.2189263439971428e-10,1.9887264467403653e-12,4.9772736881567986e-11,6.862784837122167e-10
"(24, 370.1118481127528)",92.9999999933447,6.306892672136024e-10,5.952884657298546e-12,1.4286389065008667e-10,2.06036925146473e-9
"(25, 370.1118481127528)",92.99999999502222,1.6595445535308439e-9,1.6365923348082697e-11,4.110905350417785e-10,5.64613160138876e-9
"(26, 370.1118481127528)",92.99999998268258,4.076674716465775e-9,4.172866831587586e-11,1.0809744775600388e-9,1.4363300072112847e-8
"(27, 370.1118481127528)",92.99999996841441,9.333653573209299e-9,9.949647765656075e-11,2.692320288523918e-9,3.4132504937654997e-8
"(28, 370.1118481127528)",92.9999999354591,2.054887706962789e-8,2.2343277817934272e-10,6.258083842473258e-9,7.643703461845003e-8
"(29, 370.1118481127528)",92.99999987301295,4.239430224620668e-8,4.754615613211232e-10,1.379039939773e-8,1.6218355776940584e-7
"(30, 370.1118481127528)",92.99999974358151,8.483654314125019e-8,9.638811941767977e-10,2.891845661434443e-8,3.278253935235573e-7
"(31, 370.1118481127528)",92.99999949933729,1.6192403563656226e-7,1.870186968529991e-9,5.7979777119338954e-8,6.341985781196827e-7
"(32, 370.1118481127528)",92.99999907673337,2.9737366003178423e-7,3.4870936178080328e-9,1.1159097257462886e-7,1.1790236908544875e-6
"(33, 370.1118481127528)",92.99999833832288,5.276212047664265e-7,6.2706194316295054e-9,2.069304638889648e-7,2.113900082763171e-6
"(34, 370.1118481127528)",92.99999712176151,8.99997929718108e-7,1.0909263016250687e-8,3.709189715168188e-7,3.666728524975827e-6
"(35, 370.1118481127528)",92.99999514534016,1.5011904759679058e-6,1.8413352813395744e-8,6.444732846994521e-7,6.170526755018602e-6
