T_mu,sigma,ω₀,n_B,P,e
"(1, 0.11184811275279571)",92.99999999999444,0.0,0.0,3.971889227456797e-12,-3.971889227456797e-12
"(2, 0.11184811275279571)",92.99999999999444,1.2184827116997469e-138,1.0570720668378392e-208,3.971889227456797e-12,-3.971889227456797e-12
"(3, 0.11184811275279571)",92.99999999999444,1.7352281076568926e-104,1.8375549531248816e-140,3.971889227456797e-12,-3.971889227456797e-12
"(4, 0.11184811275279571)",92.99999999999444,5.618372041526866e-84,2.6465968586727514e-106,3.971889227456797e-12,-3.971889227456797e-12
"(5, 0.11184811275279571)",92.99999999999444,2.706578409551147e-70,8.61951989608667e-86,3.971889227456797e-12,-3.971889227456797e-12
"(6, 0.11184811275279571)",92.99999999999444,1.6256797362124694e-60,4.166705676496022e-72,3.971889227456797e-12,-3.971889227456797e-12
"(7, 0.11184811275279571)",92.99999999999444,3.5326287099073217e-53,2.5082204972573394e-62,3.971889227456797e-12,-3.971889227456797e-12
"(8, 0.11184811275279571)",92.99999999999444,1.805990511095746e-47,5.458513161623693e-55,3.971889227456797e-12,-3.971889227456797e-12
"(9, 0.11184811275279571)",92.99999999999444,6.684272887492935e-43,2.7934507710735664e-49,3.971889227456797e-12,-3.971889227456797e-12
"(10, 0.11184811275279571)",92.99999999999444,3.664518720473646e-39,1.0346127533137388e-44,3.971889227456797e-12,-3.971889227456797e-12
"(11, 0.11184811275279571)",92.99999999999444,4.7993869843741604e-36,5.673085107883509e-41,3.971889227456797e-12,-3.971889227456797e-12
"(12, 0.11184811275279571)",92.99999999999444,2.0923842322556115e-33,7.422900254680418e-38,3.971889227456797e-12,-3.971889227456797e-12
"(13, 0.11184811275279571)",92.99999999999444,3.8513615790554043e-31,3.225581312120901e-35,3.971889227456797e-12,-3.971889227456797e-12
"(14, 0.11184811275279571)",92.99999999999444,3.56418836166194e-29,5.895141506689165e-33,3.971889227456797e-12,-3.971889227456797e-12
"(15, 0.11184811275279571)",92.99999999999444,1.8903414109014262e-27,5.388437780873714e-31,3.971889227456797e-12,-3.971889227456797e-12
"(16, 0.11184811275279571)",92.99999999999444,6.348399665343593e-26,2.8050524961182e-29,3.971889227456797e-12,-3.971889227456797e-12
"(17, 0.11184811275279571)",92.99999999999444,1.4581038777719303e-24,9.185001197484851e-28,3.971889227456797e-12,-3.971889227456797e-12
"(18, 0.11184811275279571)",92.99999999999444,3.1510356867648926e-24,2.0437974666535755e-26,3.971889227456797e-12,-3.9718892274567946e-12
"(19, 0.11184811275279571)",92.99999999999444,0.0,3.2848074457847956e-25,3.971889227456797e-12,-3.971889227456761e-12
"(20, 0.11184811275279571)",92.99999999999444,0.0,4.003941366919509e-24,3.971889227456797e-12,-3.971889227456349e-12
"(21, 0.11184811275279571)",92.99999999999444,0.0,3.8505697905500874e-23,3.971889227456797e-12,-3.97188922745249e-12
"(22, 0.11184811275279571)",92.99999999999753,4.5341318266746694e-20,3.0175541141431427e-22,3.971889227456797e-12,-3.971889227423046e-12
"(23, 0.11184811275279571)",92.99999999999659,9.861826844253405e-19,1.9791072577066125e-21,0.0,2.213594117098455e-22
"(24, 0.11184811275279571)",92.99999999999568,3.1907109519630443e-18,1.110775588111795e-20,1.9859446137283985e-12,-1.985944612486017e-12
"(25, 0.11184811275279571)",93.0000000000046,2.3706020024901238e-17,5.435487606378732e-20,1.9859446137283985e-12,-1.985944607648908e-12
"(26, 0.11184811275279571)",92.9999999999974,9.743342610984456e-17,2.3559701357569114e-19,3.971889227456797e-12,-3.971889201105715e-12
"(27, 0.11184811275279571)",93.00000000000233,2.408850005980074e-16,9.167836467544113e-19,1.9859446137283985e-12,-1.9859445111878776e-12
"(28, 0.11184811275279571)",92.99999999999957,1.932223253722029e-16,3.2399704113107703e-18,3.971889227456797e-12,-3.971888865072221e-12
"(29, 0.11184811275279571)",92.99999999999757,2.20787207965949e-15,1.0502975816237756e-17,0.0,1.1747380233344473e-18
"(30, 0.11184811275279571)",92.99999999999919,1.091257161557556e-14,3.150103758565656e-17,4.2201323041728465e-12,-4.220128780841243e-12
"(31, 0.11184811275279571)",92.99999999998938,2.995775631067494e-14,8.807233875731488e-17,2.730673843876548e-12,-2.7306639931516722e-12
"(32, 0.11184811275279571)",92.99999999998514,5.769751453330679e-14,2.3105207002116474e-16,4.2201323041728465e-12,-4.2201064614348675e-12
"(33, 0.11184811275279571)",92.99999999995974,1.8932767519894424e-13,5.720626664535296e-16,9.433236915209893e-12,-9.433172931080274e-12
"(34, 0.11184811275279571)",92.99999999991374,4.3165728276560253e-13,1.3435493384988167e-15,1.5887556909827188e-11,-1.5887406636369288e-11
"(35, 0.11184811275279571)",92.99999999980169,1.0033863002625221e-12,3.0067687311509887e-15,3.500227381696302e-11,-3.5001937515554956e-11
"(36, 0.11184811275279571)",92.99999999957586,2.1450289601599767e-12,6.437619629946163e-15,7.645886762854335e-11,-7.645814759293711e-11
"(37, 0.11184811275279571)",92.99999999910763,2.3086052177522437e-12,1.3233775176597586e-14,1.6210272909558052e-10,-1.6210124892280242e-10
"(38, 0.11184811275279571)",92.99999999819724,2.2868022856003e-12,2.620391380644718e-14,3.443131474051611e-10,-3.443102165468551e-10
"(39, 0.11184811275279571)",92.99999999645384,9.611793884778926e-12,5.012113091795554e-14,6.836614332760012e-10,-6.83655827322099e-10
"(40, 0.11184811275279571)",92.99999999329926,2.1464386590791688e-11,9.284777093624986e-14,1.3320723496583232e-9,-1.332061964810371e-9
"(41, 0.11184811275279571)",92.99999998766725,1.6280463596384197e-11,1.6696758578828696e-13,2.5154470963637326e-9,-2.5154284213543716e-9
"(42, 0.11184811275279571)",92.99999997791319,1.7419547462371506e-11,2.920926360232305e-13,4.610618663847193e-9,-4.610585993837105e-9
"(43, 0.11184811275279571)",92.99999996151078,1.2439938204067541e-10,4.980457588053067e-13,8.233478125441224e-9,-8.233422419963039e-9
"(44, 0.11184811275279571)",92.99999993453181,2.567134351149546e-10,8.291535548659884e-13,1.4351925237261703e-8,-1.4351832498001409e-8
