T_mu,sigma,ω₀,n_B,P,e
"(1, 500.1118481127528)",92.99999999940911,0.0,2.356799978908904e-194,3.971889227456797e-12,-3.971889227456797e-12
"(2, 500.1118481127528)",92.99999999940911,0.0,1.3432661302385523e-98,3.971889227456797e-12,-3.971889227456797e-12
"(3, 500.1118481127528)",92.99999999940911,0.0,1.4485955180454638e-66,3.971889227456797e-12,-3.971889227456797e-12
"(4, 500.1118481127528)",92.99999999940911,0.0,1.7104539594997956e-50,3.971889227456797e-12,-3.971889227456797e-12
"(5, 500.1118481127528)",92.99999999940911,0.0,8.122216700699769e-41,3.971889227456797e-12,-3.971889227456797e-12
"(6, 500.1118481127528)",92.99999999940911,0.0,2.414712040551201e-34,3.971889227456797e-12,-3.971889227456797e-12
"(7, 500.1118481127528)",92.99999999940911,0.0,1.0529350770226186e-29,3.971889227456797e-12,-3.971889227456791e-12
"(8, 500.1118481127528)",92.99999999940911,0.0,3.265434283056958e-26,3.971889227456797e-12,-3.971889227440466e-12
"(9, 500.1118481127528)",92.99999999940911,0.0,1.7331830861397688e-23,3.971889227456797e-12,-3.9718892187889434e-12
"(10, 500.1118481127528)",92.99999999940911,0.0,2.6680343075186932e-21,3.971889227456797e-12,-3.971887893141229e-12
"(11, 500.1118481127528)",92.99999999940911,0.0,1.6669639584012776e-19,3.971889227456797e-12,-3.9718058606142e-12
"(12, 500.1118481127528)",92.99999999940911,0.0,5.290002506901715e-18,3.971889227456797e-12,-3.969243634526549e-12
"(13, 500.1118481127528)",92.99999999940911,0.0,9.960763287315812e-17,3.971889227456797e-12,-3.922074270094466e-12
"(14, 500.1118481127528)",92.99999999940911,0.0,1.2436954779699103e-15,3.971889227456797e-12,-3.3499023834797914e-12
"(15, 500.1118481127528)",92.99999999940911,0.0,1.1172845245075033e-14,4.096010765814822e-12,1.4916615183774355e-12
"(16, 500.1118481127528)",92.99999999940911,1.305810924991869e-11,7.678112741092409e-14,5.213104611037046e-12,3.318604691862094e-11
"(17, 500.1118481127528)",92.99999999987273,1.479919048324118e-11,4.23019069177565e-13,1.315688306595064e-11,1.9839996540737782e-10
"(18, 500.1118481127528)",92.99999999940911,7.057514985588756e-11,1.937957524730696e-12,3.8850041506061794e-11,9.303454777510223e-10
"(19, 500.1118481127528)",92.99999999940911,1.919883364926965e-10,7.598812824534706e-12,1.4832523833783977e-10,3.6519310868030995e-9
"(20, 500.1118481127528)",92.99999999940911,1.1316190293633802e-10,2.6097946254424794e-11,5.259029580229516e-10,1.2525989175224727e-8
"(21, 500.1118481127528)",92.99999999940911,5.525490878803917e-9,7.999526282631281e-11,1.6838327893649658e-9,3.8322745942967733e-8
"(22, 500.1118481127528)",92.99999993523139,2.1548866583993288e-8,2.222212477123062e-10,4.890885097459614e-9,1.0624459378586368e-7
"(23, 500.1118481127528)",92.99999984183067,5.42707007645024e-8,5.666085420221007e-10,1.3037974632203653e-8,2.7032967047494147e-7
"(24, 500.1118481127528)",92.99999964038048,1.2444813754830692e-7,1.3401581360161166e-9,3.216771024548081e-8,6.380612519208812e-7
"(25, 500.1118481127528)",92.99999920140901,2.6768404269329024e-7,2.9666886962801384e-9,7.416919761045285e-8,1.4095069690614205e-6
"(26, 500.1118481127528)",92.99999834545093,5.45182944891147e-7,6.193086349209083e-9,1.6102423704878765e-7,2.9362116225760277e-6
"(27, 500.1118481127528)",92.99999672197026,1.067871419705977e-6,1.2270308814056408e-8,3.3129639755601663e-7,5.805230420355934e-6
"(28, 500.1118481127528)",92.99999381677083,1.9863204988039427e-6,2.3201418971213987e-8,6.49643691501294e-7,1.0953660829030816e-5
