T_mu,sigma,ω₀,n_B,P,e
"(1, 150.1118481127528)",92.99999999490393,0.0,0.0,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 150.1118481127528)",92.99999999490393,1.1310104292940642e-115,1.338389570321954e-174,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 150.1118481127528)",92.99999999490393,6.087681505908583e-87,3.1119616556809283e-117,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 150.1118481127528)",92.99999999490393,1.1389397390875598e-69,1.7057422627421835e-88,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 150.1118481127528)",92.99999999490393,3.921636933333179e-58,3.224701082822973e-71,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 150.1118481127528)",92.99999999490393,7.080626474784796e-50,1.117866133776837e-59,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 150.1118481127528)",92.99999999490393,8.860194333839684e-44,2.02791203546432e-51,1.9859446137283985e-12,-1.9859446137283985e-12
"(8, 150.1118481127528)",92.99999999490393,6.075310712896783e-39,3.2581360370866796e-45,1.9859446137283985e-12,-1.9859446137283985e-12
"(9, 150.1118481127528)",92.99999999490393,4.570650375037513e-35,2.234012964368781e-40,1.9859446137283985e-12,-1.9859446137283985e-12
"(10, 150.1118481127528)",92.99999999490393,6.885763604027457e-32,1.6804337734355535e-36,1.9859446137283985e-12,-1.9859446137283985e-12
"(11, 150.1118481127528)",92.99999999490393,3.104812826825903e-29,2.5296888825976728e-33,1.9859446137283985e-12,-1.9859446137283985e-12
"(12, 150.1118481127528)",92.99999999490393,5.5383037750488524e-27,1.138138542669488e-30,1.9859446137283985e-12,-1.985944613728398e-12
"(13, 150.1118481127528)",92.99999999490393,4.771779313169604e-25,2.0205231938478213e-28,1.9859446137283985e-12,-1.9859446137283682e-12
"(14, 150.1118481127528)",92.99999999490393,2.2989950315978605e-23,1.726287861263721e-26,1.9859446137283985e-12,-1.985944613725807e-12
"(15, 150.1118481127528)",92.99999999490393,6.910968886484591e-22,8.211575960774634e-25,1.9859446137283985e-12,-1.9859446136051332e-12
"(16, 150.1118481127528)",92.99999999490393,1.40903875893491e-20,2.4260322726366196e-23,1.9859446137283985e-12,-1.9859446100866365e-12
"(17, 150.1118481127528)",92.99999999490393,2.0784029609103027e-19,4.840214855213786e-22,1.9859446137283985e-12,-1.9859445410710386e-12
"(18, 150.1118481127528)",92.99999999490393,2.3333575891385072e-18,6.960078175499489e-21,1.9859446137283985e-12,-1.9859435689382007e-12
"(19, 150.1118481127528)",92.99999999490393,2.0759632447697532e-17,7.594307393632837e-20,1.9859446137283985e-12,-1.9859332137732184e-12
"(20, 150.1118481127528)",92.99999999490393,2.5549185713776593e-17,6.551981073523266e-19,1.9859446137283985e-12,-1.9858462607296238e-12
"(21, 150.1118481127528)",93.0,9.768081427418814e-16,4.621209192202315e-18,0.0,6.936982523571309e-16
"(22, 150.1118481127528)",93.00000000000044,4.862384913048233e-15,2.7384102724348764e-17,3.971889227456797e-12,-3.9677785491879355e-12
"(23, 150.1118481127528)",92.99999999284819,2.247205208940974e-14,1.3944595887896916e-16,-5.9578338411851955e-12,5.978766331784372e-12
"(24, 150.1118481127528)",92.999999992851,9.211866863340231e-14,6.218039796652837e-16,0.0,9.33401445514203e-14
"(25, 150.1118481127528)",92.99999999715149,3.4014464265596045e-13,2.4666809605160222e-15,-1.9859446137283985e-12,2.356222651415999e-12
"(26, 150.1118481127528)",93.00000000000105,1.135934343524886e-12,8.822721035512741e-15,2.482430767160498e-13,1.0761518833080279e-12
"(27, 150.1118481127528)",92.99999999762323,3.512402309202241e-12,2.877938064223994e-14,7.447292301481494e-13,3.5753967855988696e-12
"(28, 150.1118481127528)",92.99999999797569,1.0158050148468112e-11,8.645757306233578e-14,2.482430767160498e-12,1.049587530857008e-11
"(29, 150.1118481127528)",92.99999999831617,2.7276043313272215e-11,2.412327439095337e-13,2.9789169205925978e-12,3.323297609297792e-11
"(30, 150.1118481127528)",92.99999999862241,6.882840540862092e-11,6.297421032796415e-13,1.290863998923459e-11,8.162311096848442e-11
"(31, 150.1118481127528)",92.99999999246715,1.6301256233852044e-10,1.5479438987571425e-12,4.803503534455564e-11,1.8432968407273895e-10
"(32, 150.1118481127528)",92.99999999853183,3.720641420585819e-10,3.602809586490387e-12,1.1133701990714834e-10,4.2948738551926637e-10
"(33, 150.1118481127528)",92.99999999085338,8.06203700749478e-10,7.97913117282747e-12,2.6139995978200045e-10,9.363621669052078e-10
"(34, 150.1118481127528)",92.99999999562853,1.6727279869417702e-9,1.688817270037374e-11,5.68352524141396e-10,1.9667622911590455e-9
"(35, 150.1118481127528)",92.99999998433113,3.31293665599587e-9,3.429198550842304e-11,1.2026135851509034e-9,3.945019734974217e-9
"(36, 150.1118481127528)",92.99999998339565,6.367597945142842e-9,6.703026610238446e-11,2.416273987215671e-9,7.645763136902868e-9
"(37, 150.1118481127528)",92.99999996870672,1.1850375925786948e-8,1.2651534410607107e-10,4.683850371478428e-9,1.4307601746904766e-8
"(38, 150.1118481127528)",92.9999999428782,2.138992379347158e-8,2.3120442653016238e-10,8.794259235742781e-9,2.5912264522549067e-8
"(39, 150.1118481127528)",92.999999891657,3.778342188106767e-8,4.1010532110745265e-10,1.6006589465112535e-8,4.555507820720111e-8
"(40, 150.1118481127528)",92.99999982566563,6.420076361751933e-8,7.076207997407304e-10,2.8339926124057677e-8,7.78823398880475e-8
"(41, 150.1118481127528)",92.99999970001497,1.0691139480135799e-7,1.1900855640810337e-9,4.885994708848307e-8,1.2978599634802877e-7
"(42, 150.1118481127528)",92.99999951971775,1.7415190521545078e-7,1.9543961644768285e-9,8.220991498682406e-8,2.1116810520726826e-7
"(43, 150.1118481127528)",92.99999922238489,2.777275593960336e-7,3.139176124819914e-9,1.3523550502414082e-7,3.3599202462400607e-7
"(44, 150.1118481127528)",92.99999878213188,4.3690843404460216e-7,4.938953477484363e-9,2.177853889045275e-7,5.236100453435573e-7
"(45, 150.1118481127528)",92.99999812663377,6.218068938941162e-7,7.621854553745473e-9,3.438571248732337e-7,8.002735482361e-7
"(46, 150.1118481127528)",92.99999717482699,9.956345190443572e-7,1.1551333397189856e-8,5.329154525755649e-7,1.2010765518431677e-6
"(47, 150.1118481127528)",92.99999579482085,1.4042288349786276e-6,1.721246264059874e-8,8.117059569753698e-7,1.7720886205766197e-6
"(48, 150.1118481127528)",92.99999383919125,2.1592708186971632e-6,2.524329986830039e-8,1.216341799657916e-6,2.5729765960370645e-6
"(49, 150.1118481127528)",92.99999110043845,2.9754486752143946e-6,3.647183274080177e-8,1.7949378261169231e-6,3.679916390664037e-6
"(50, 150.1118481127528)",92.99998734233982,4.238920794211181e-6,5.195895711438257e-8,2.6107975103734443e-6,5.188857568077789e-6
"(51, 150.1118481127528)",92.99998211971493,5.959403008536496e-6,7.304792501783737e-8,3.7461856291342578e-6,7.219173396095101e-6
"(52, 150.1118481127528)",92.99997533814815,8.274106213356897e-6,1.014206093296378e-7,5.306758655982018e-6,9.91767644721141e-6
"(53, 150.1118481127528)",92.99996618057224,1.1353039727412316e-5,1.3916091695291243e-7,7.4268342171647095e-6,1.3462868211702285e-5
"(54, 150.1118481127528)",92.99995414714004,1.5404784467214966e-5,1.888255465793234e-7,1.0275378590484496e-5,1.8069573177438427e-5
"(55, 150.1118481127528)",92.99993848811833,2.0682879925149142e-5,2.5352228151406273e-7,1.406298928655959e-5,2.399370892927795e-5
"(56, 150.1118481127528)",92.9999182787795,2.7492830641953027e-5,3.3699587188556497e-7,1.9049766216179233e-5,3.15373069189314e-5
"(57, 150.1118481127528)",92.99989246109237,3.61997315342319e-5,4.4372150139846023e-7,2.5554327754728475e-5,4.1053526867559815e-5
"(58, 150.1118481127528)",92.99985975471975,4.723650471037215e-5,5.790057520162745e-7,3.3963753001532194e-5,5.295187050154501e-5
"(59, 150.1118481127528)",92.99981863069378,6.111273347405938e-5,7.490948883131602e-7,4.4744834266158025e-5,6.77031838303466e-5
"(60, 150.1118481127528)",92.99976734748039,7.842407269009654e-5,9.612902030754915e-7,5.8456565929362865e-5,8.584448302698263e-5
"(61, 150.1118481127528)",92.999703849461,9.986220915465979e-5,1.224070110405044e-6,7.576372209817384e-5,0.00010798370439430866
"(62, 150.1118481127528)",92.99962577098044,0.00012622533911913327,1.547218573440717e-6,9.745194978495267e-5,0.00013480388970861032
"(63, 150.1118481127528)",92.99953040283378,0.00015842912568760656,1.941959415127743e-6,0.00012444407525037592,0.00016706704151441012
"(64, 150.1118481127528)",92.9994146219195,0.00019751809432214495,2.4210960037742745e-6,0.0001578178697674632,0.0002056173258174935
"(65, 150.1118481127528)",92.99927492604145,0.0002446774197015854,2.9991557233160606e-6,0.0001988252667387535,0.00025138354166616026
"(66, 150.1118481127528)",92.99910732490734,0.00030124505658282616,3.6925386766806917e-6,0.00024891291746427274,0.0003053808875200844
"(67, 150.1118481127528)",92.99890734419814,0.0003687241615818135,4.51966994112435e-6,0.0003097443462155227,0.00036871166150631015
"(68, 150.1118481127528)",92.99866994286491,0.0004487957545356664,5.5011547751462545e-6,0.00038322343936776496,0.0004425650706837344
"(69, 150.1118481127528)",92.99838955026183,0.0005433315625865074,6.659936037149232e-6,0.0004715195443886564,0.0005282157624605379
"(70, 150.1118481127528)",92.9980599253387,0.0006544069973752328,8.021453279898494e-6,0.0005770939774822244,0.000627021198913441
"(71, 150.1118481127528)",92.99767419210295,0.000784314205208005,9.613802693233404e-6,0.0007027280534593879,0.0007404176362132387
"(72, 150.1118481127528)",92.99722476148253,0.0009355751496636466,1.1467897475059971e-5,0.0008515525540529866,0.0008699147298958371
"(73, 150.1118481127528)",92.99670328806505,0.0011109546304574414,1.3617627413348408e-5,0.0010270787568129123,0.0010170884611157025
"(74, 150.1118481127528)",92.99610066148982,0.001313473286928258,1.610001825736675e-5,0.0012332307450596371,0.001183572750202747
"(75, 150.1118481127528)",92.99540689338663,0.0015464204199473553,1.895538892377716e-5,0.0014743793432092866,0.0013710491198349072
"(76, 150.1118481127528)",92.9946111434505,0.0018133666662813513,2.2227506813410032e-5,0.0017553773630704015,0.0015812347636293834
"(77, 150.1118481127528)",92.99370163457009,0.002118176462114065,2.5963740610850193e-5,0.0020815962062926264,0.0018158688807222293
"(78, 150.1118481127528)",92.9926656441135,0.0024650202531230664,3.021520992074664e-5,0.0024589639346767134,0.0020766970676413476
"(79, 150.1118481127528)",92.9914894273768,0.0028583864273785432,3.503693156564167e-5,0.002894004608882523,0.002365453940635994
"(80, 150.1118481127528)",92.99015816989376,0.003303092935056882,4.048796203282573e-5,0.0033938789629330227,0.002683843844133414
"(81, 150.1118481127528)",92.98865600612248,0.0038042985603238154,4.663153556345354e-5,0.003966426326512113,0.0030335196572534545
"(82, 150.1118481127528)",92.98696591308251,0.004367513848242219,5.3535198173031385e-5,0.004620207867046764,0.0034160596697894443
"(83, 150.1118481127528)",92.98506970471531,0.004998611641227444,6.127093676151728e-5,0.0053645510120608675,0.0038329425408100953
"(84, 150.1118481127528)",92.98294799376649,0.005703837226523866,6.991530349189188e-5,0.006209595044601745,0.004285520373930145
"(85, 150.1118481127528)",92.98058012496794,0.006489818089288231,7.954953540614223e-5,0.00716633795775554,0.0047749898185713326
"(86, 150.1118481127528)",92.9779442075186,0.007363573233621855,9.025966852970598e-5,0.008246684390509454,0.005302361262529183
"(87, 150.1118481127528)",92.97501699168303,0.008332522132400324,0.00010213664778618702,0.009463494659110677,0.005868426300115159
"(88, 150.1118481127528)",92.97177393243322,0.009404493216504071,0.00011527643081428497,0.01083063495218887,0.006473723121185333
"(89, 150.1118481127528)",92.96818907344402,0.010587732013207111,0.00012978008796462904,0.012363028612438582,0.007118500240167509
"(90, 150.1118481127528)",92.96423508335513,0.01189090883725011,0.00014575389639185407,0.014076708407053853,0.007802678349962055
"(91, 150.1118481127528)",92.95988320273814,0.01332312612453309,0.00016330943003174862,0.015988869940701565,0.008525810415604516
"(92, 150.1118481127528)",92.95510322326167,0.014893925380751322,0.00018256364478004544,0.018117925992827907,0.009287040123304828
"(93, 150.1118481127528)",92.94986348747078,0.01661329375675611,0.00020363895900331788,0.020483562005075,0.010085058478670146
"(94, 150.1118481127528)",92.9441308476911,0.018491670303263777,0.00022666333031256524,0.02310679252567458,0.010918058886935932
"(95, 150.1118481127528)",92.9378706508709,0.020539951889980097,0.00025177032814962863,0.0260100186594744,0.011783690599020583
"(96, 150.1118481127528)",92.93104676609663,0.022769498782803935,0.00027909920193628794,0.029217086601669776,0.012679010407780798
"(97, 150.1118481127528)",92.92362153849362,0.02519213998934093,0.0003087949468078363,0.032753347152467645,0.013600433000735854
"(98, 150.1118481127528)",92.91555579284943,0.027820178306024342,0.00034100836545954946,0.03664571628032937,0.01454367968071261
"(99, 150.1118481127528)",92.90680885131373,0.03066639510144311,0.00037589612665477946,0.04092273674186026,0.015503725528714082
"(100, 150.1118481127528)",92.89733851970306,0.033744054905761746,0.0004136208216021602,0.04561464076343463,0.01647474518518086
"(101, 150.1118481127528)",92.88710111243414,0.03706690975255841,0.00045435101703210123,0.050753413799823524,0.01745005705877402
"(102, 150.1118481127528)",92.87605143482548,0.04064920338858136,0.0004982613070597364,0.056372859417611824,0.018422066228201004
"(103, 150.1118481127528)",92.86414283459945,0.04450567522140339,0.000545532361244033,0.06250866528652413,0.01938220566513153
"(104, 150.1118481127528)",92.85132719388466,0.04865156419401239,0.0005963509723377,0.06919847038267346,0.020320876198775803
"(105, 150.1118481127528)",92.83755496487845,0.053102612456538155,0.0006509101011775158,0.07648193332950784,0.021227384913507976
"(106, 150.1118481127528)",92.82277519462468,0.05787506892252617,0.000709408920298917,0.08440080201013392,0.02208988208360907
"(107, 150.1118481127528)",92.80693555730775,0.06298569269012391,0.0007720528558562652,0.09299898444021887,0.022895296593093833
"(108, 150.1118481127528)",92.78998238463896,0.06845175635327413,0.0008390536282727749,0.1023226210075946,0.02362926979814235
"(109, 150.1118481127528)",92.77186071125708,0.07429104916534716,0.0009106292909224092,0.11242015795481491,0.024276087851153545
"(110, 150.1118481127528)",92.75251431150853,0.0805218801087061,0.0009870042678214476,0.12334242237773337,0.024818612360118557
"(111, 150.1118481127528)",92.73188574519742,0.08716308082592701,0.0010684093895495985,0.13514269867568232,0.025238209330625937
"(112, 150.1118481127528)",92.7099164071551,0.09423400841500629,0.0011550819274707526,0.14787680643823473,0.02551467641604061
"(113, 150.1118481127528)",92.68654657274564,0.1017545481027586,0.0012472656265859676,0.16160317999072624,0.025626168303603963
"(114, 150.1118481127528)",92.66171545391066,0.1097451157380609,0.0013452107360110257,0.17638294947975308,0.025549120203978398
"(115, 150.1118481127528)",92.6353612499243,0.11822666013709703,0.0014491740377684558,0.19228002371796887,0.025258169328474234
"(116, 150.1118481127528)",92.60742120241926,0.12722066523121128,0.0015594188730910217,0.20936117468788956,0.02472607433370998
"(117, 150.1118481127528)",92.5778313013325,0.1367491536202895,0.0016762151954651846,0.22769612395692218,0.02392363686903584
"(118, 150.1118481127528)",92.54652787236877,0.14683468127410018,0.0017998394642080166,0.24735763090047172,0.022819597378060448
"(119, 150.1118481127528)",92.5134449730474,0.15750035108812194,0.0019305748820333468,0.2684215828304381,0.02138058063164734
"(120, 150.1118481127528)",92.47851684435277,0.16876980303797184,0.002068711209060588,0.2909670872413503,0.019570975562301838
"(1, 151.00288351272707)",92.99999999490393,0.0,0.0,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 151.00288351272707)",92.99999999490393,8.542280683696923e-116,2.08964373991385e-174,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 151.00288351272707)",92.99999999490393,4.347242373884252e-87,4.188311994472191e-117,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 151.00288351272707)",92.99999999490393,7.860405380094733e-70,2.131468949290234e-88,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 151.00288351272707)",92.99999999490393,2.645124594057009e-58,3.853985580848403e-71,1.9859446137283985e-12,-1.9859446137283985e-12
