T_mu,sigma,ω₀,n_B,P,e
"(1, 110.1118481127528)",92.99999999490393,0.0,0.0,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 110.1118481127528)",92.99999999490393,1.8193590134759839e-121,2.7488646308898106e-183,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 110.1118481127528)",92.99999999490393,2.7416057537718605e-91,5.0054999483531504e-123,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 110.1118481127528)",92.99999999490393,3.7907158741736606e-73,7.681220353418342e-93,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 110.1118481127528)",92.99999999490393,4.955832406825238e-61,1.0731974423164974e-74,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 110.1118481127528)",92.99999999490393,2.3216407780933508e-52,1.4125859724916967e-62,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 110.1118481127528)",92.99999999490393,5.940390098975404e-46,6.648959259505799e-54,1.9859446137283985e-12,-1.9859446137283985e-12
"(8, 110.1118481127528)",92.99999999490393,7.105887104908736e-41,2.1844451657886598e-47,1.9859446137283985e-12,-1.9859446137283985e-12
"(9, 110.1118481127528)",92.99999999490393,8.343850599057726e-37,2.61300006431703e-42,1.9859446137283985e-12,-1.9859446137283985e-12
"(10, 110.1118481127528)",92.99999999490393,1.809063982556948e-33,3.0678896289447194e-38,1.9859446137283985e-12,-1.9859446137283985e-12
"(11, 110.1118481127528)",92.99999999490393,1.104432551801514e-30,6.648052991010943e-35,1.9859446137283985e-12,-1.9859446137283985e-12
"(12, 110.1118481127528)",92.99999999490393,2.5444971474894702e-28,4.051877610405492e-32,1.9859446137283985e-12,-1.9859446137283985e-12
"(13, 110.1118481127528)",92.99999999490393,2.728243116902263e-26,9.299638666365708e-30,1.9859446137283985e-12,-1.9859446137283973e-12
"(14, 110.1118481127528)",92.99999999490393,1.5878049944124986e-24,9.901717116106577e-28,1.9859446137283985e-12,-1.9859446137282895e-12
"(15, 110.1118481127528)",92.99999999490393,5.628435086574374e-23,5.699828573149863e-26,1.9859446137283985e-12,-1.9859446137221224e-12
"(16, 110.1118481127528)",92.99999999490393,1.3267635691078659e-21,1.9897800456676872e-24,1.9859446137283985e-12,-1.9859446135093003e-12
"(17, 110.1118481127528)",92.99999999490393,2.2260700235234515e-20,4.599506939461293e-23,1.9859446137283985e-12,-1.985944608663796e-12
"(18, 110.1118481127528)",92.99999999490393,2.80423230877387e-19,7.538534753988673e-22,1.9859446137283985e-12,-1.9859445307201992e-12
"(19, 110.1118481127528)",92.99999999490393,2.7674984210910557e-18,9.246952620495237e-21,1.9859446137283985e-12,-1.985943595529356e-12
"(20, 110.1118481127528)",92.99999999490393,2.214414707591325e-17,8.864019640477771e-20,1.9859446137283985e-12,-1.9859348533925554e-12
"(21, 110.1118481127528)",92.99999999490393,1.4773925714484954e-16,6.876990585382404e-19,1.9859446137283985e-12,-1.9858688899141174e-12
"(22, 110.1118481127528)",92.99999999284366,8.41094334816634e-16,4.443833770587752e-18,-3.971889227456797e-12,3.972378546205983e-12
"(23, 110.1118481127528)",92.9999999999988,4.1393520617951864e-15,2.4490882088935435e-17,-1.9859446137283985e-12,1.9886413500171227e-12
"(24, 110.1118481127528)",92.99999999999612,1.8112227373979238e-14,1.1741478056440448e-16,-1.9859446137283985e-12,1.9988733722120983e-12
"(25, 110.1118481127528)",92.99999999284562,7.1567647133866e-14,4.978835589800907e-16,0.0,5.482287882425254e-14
"(26, 110.1118481127528)",92.99999999283077,2.5498058761808475e-13,1.893772350146305e-15,-1.9859446137283985e-12,2.1944713871078393e-12
"(27, 110.1118481127528)",92.99999999284198,8.320020278082761e-13,6.539264763913327e-15,-1.8618230753703737e-12,2.5818736038234738e-12
"(28, 110.1118481127528)",92.99999999999606,2.491189258926976e-12,2.0710762490558574e-14,4.5924969192469216e-12,-2.3119965855872376e-12
"(29, 110.1118481127528)",92.99999999999086,7.043827716193507e-12,6.069883363909966e-14,-2.2341876904444484e-12,8.917848440734241e-12
"(30, 110.1118481127528)",92.9999999927988,1.856984105052525e-11,1.658903312742539e-13,2.9789169205925978e-12,1.528757404005229e-11
"(31, 110.1118481127528)",92.99999999988495,4.5807366827053905e-11,4.256261646676286e-13,1.7128772293407437e-11,2.9737711303288e-11
"(32, 110.1118481127528)",92.99999999975194,1.0780303283031796e-10,1.031216213322281e-12,3.6988218430691424e-11,7.656090462205968e-11
"(33, 110.1118481127528)",92.99999999225315,2.436134157504666e-10,2.371512260813173e-12,7.248697840108654e-11,1.8864461945910457e-10
"(34, 110.1118481127528)",92.99999999870228,5.195149018411749e-10,5.20035312222523e-12,1.79355622927346e-10,3.932648701997983e-10
"(35, 110.1118481127528)",92.99999999674435,1.076617897779415e-9,1.0917536738394681e-11,3.7956366429884017e-10,8.225864828046735e-10
"(36, 110.1118481127528)",92.99999989941583,2.137216541094391e-9,2.2022141559492656e-11,7.942537239530014e-10,1.6306449825633948e-9
"(37, 110.1118481127528)",92.99999998219349,4.093852085251533e-9,4.2818203714174445e-11,1.590493392519731e-9,3.124298151316353e-9
"(38, 110.1118481127528)",92.99999997284769,7.591911672892986e-9,8.047789943884792e-11,3.0728769251296226e-9,5.788693314314193e-9
"(39, 110.1118481127528)",92.99999995644988,1.3571348106556918e-8,1.465960642574486e-10,5.761721810579516e-9,1.0380241750864014e-8
"(40, 110.1118481127528)",92.99999993560859,2.388908498927725e-8,2.594014886995422e-10,1.0458729065123894e-8,1.8104448258782057e-8
"(41, 110.1118481127528)",92.9999998820213,4.079659571291589e-8,4.4682389773574e-10,1.8486910166120945e-8,3.071369499450505e-8
"(42, 110.1118481127528)",92.99999981387441,6.751600225077213e-8,7.506496855272211e-10,3.186212301804335e-8,5.0793301140615665e-8
"(43, 110.1118481127528)",92.99999968740391,1.0981701099735416e-7,1.2320329431381588e-9,5.360945775375289e-8,8.205196655098386e-8
"(44, 110.1118481127528)",92.99999950946761,1.7509261448004824e-7,1.9786595110708585e-9,8.823613979564453e-8,1.2963771575424352e-7
"(45, 110.1118481127528)",92.99999922800436,2.755172105237135e-7,3.1138894093340703e-9,1.4224067640599102e-7,2.0063544127451166e-7
"(46, 110.1118481127528)",92.99999880775557,3.922651191464764e-7,4.808225369208807e-9,2.2489569122936696e-7,3.0454689031683797e-7
"(47, 110.1118481127528)",92.99999818387805,6.288298320081954e-7,7.293471249642613e-9,3.491780911011039e-7,4.5391950735427295e-7
"(48, 110.1118481127528)",92.9999972933294,8.876094369104492e-7,1.0879953397593686e-8,5.329667147709067e-7,6.65045061218758e-7
"(49, 110.1118481127528)",92.99999602669591,1.3671848453003225e-6,1.597717727247397e-8,8.005717584985015e-7,9.587047585986782e-7
"(50, 110.1118481127528)",92.99999425060064,1.8860383952753635e-6,2.3118287156490116e-8,1.1845164166152266e-6,1.3610809073872167e-6
"(51, 110.1118481127528)",92.9999918003779,2.6912852753319196e-6,3.29886739988135e-8,1.7278605608436326e-6,1.9045832999548372e-6
"(52, 110.1118481127528)",92.99998844294285,3.7902277651537877e-6,4.645906150193992e-8,2.4868588030414208e-6,2.628834320521229e-6
"(53, 110.1118481127528)",92.99998390985733,5.272109094155364e-6,6.462335664948103e-8,3.534181076757217e-6,3.5816161551666923e-6
"(54, 110.1118481127528)",92.99997785046233,7.247877690555457e-6,8.884151994285066e-8,4.9627493581027574e-6,4.8197545919505126e-6
"(55, 110.1118481127528)",92.99996986209831,9.854110788970816e-6,1.2078765909550703e-7,6.890185064593797e-6,6.409967307625637e-6
"(56, 110.1118481127528)",92.99995939724641,1.3257376851767537e-5,1.625035024316583e-7,9.463909085039698e-6,8.429651892505412e-6
"(57, 110.1118481127528)",92.99994585518617,1.7659044793176307e-5,2.164573474065071e-7,1.2867174582793786e-5,1.0967343977720888e-5
"(58, 110.1118481127528)",92.9999284571877,2.3300543488847856e-5,2.856085306876214e-7,1.7325732570606256e-5,1.4123150580175607e-5
"(59, 110.1118481127528)",92.99990629908876,3.0469069926290313e-5,3.7347739556007926e-7,2.3115575232794626e-5,1.800871102066332e-5
"(60, 110.1118481127528)",92.99987833058469,3.950373972208075e-5,4.842206819806499e-7,3.0571561255065795e-5,2.2746872932241105e-5
"(61, 110.1118481127528)",92.9998432612105,5.0802169006592615e-5,6.227122066611001e-7,4.009705770973721e-5,2.8470934208086967e-5
"(62, 110.1118481127528)",92.99979963645221,6.482747161589537e-5,7.946286288739055e-7,5.2174743097949404e-5,3.532328379065909e-5
"(63, 110.1118481127528)",92.99974573319906,8.211565203593816e-5,1.006540072579074e-6,6.737842818849308e-5,4.3453559402733085e-5
"(64, 110.1118481127528)",92.99967957532594,0.0001032833695911389,1.2660052950056818e-6,8.63862109149304e-5,5.301597183867604e-5
"(65, 110.1118481127528)",92.99959886889009,0.00012903604661876374,1.5816710755336465e-6,0.00010999471299192317,6.416601224157206e-5
"(66, 110.1118481127528)",92.99950100728039,0.00016017628932255248,1.9633754330135558e-6,0.00013913475981680896,7.705613765148995e-5
"(67, 110.1118481127528)",92.99938304623657,0.00019761258793373482,2.4222542668219426e-6,0.00017488826025408854,9.183063366467655e-5
"(68, 110.1118481127528)",92.99924159916587,0.00024236826104677742,2.9708510009930923e-6,0.00021850647496756307,0.00010861941921940792
"(69, 110.1118481127528)",92.99907290201398,0.00029559060466740955,3.623228717972551e-6,0.00027142970135158825,0.0001275307089195693
