T_mu,sigma,ω₀,n_B,P,e
"(1, 310.1118481127528)",92.99999970072754,1.1108624196020988e-92,7.18536628648021e-277,3.971889227456797e-12,-3.971889227456797e-12
"(2, 310.1118481127528)",92.99999970072754,1.77489019610357e-92,7.4162888126334e-140,3.971889227456797e-12,-3.971889227456797e-12
"(3, 310.1118481127528)",92.99999970072754,1.547998848599467e-69,4.5251254199835864e-94,3.971889227456797e-12,-3.971889227456797e-12
"(4, 310.1118481127528)",92.99999970072754,9.718611826918399e-56,4.019053496009878e-71,3.971889227456797e-12,-3.971889227456797e-12
"(5, 310.1118481127528)",92.99999970072754,1.6158220127160875e-46,2.5496731208010245e-57,3.971889227456797e-12,-3.971889227456797e-12
"(6, 310.1118481127528)",92.99999970072754,6.464591157946005e-40,4.267828060353327e-48,3.971889227456797e-12,-3.971889227456797e-12
"(7, 310.1118481127528)",92.99999970072754,4.6456149098112827e-35,1.715570471799566e-41,3.971889227456797e-12,-3.971889227456797e-12
"(8, 310.1118481127528)",92.99999970072754,3.452065376539999e-31,1.582876093509572e-36,3.971889227456797e-12,-3.971889227456797e-12
"(9, 310.1118481127528)",92.99999970072754,4.392136715224679e-28,1.1759941272242383e-32,3.971889227456797e-12,-3.971889227456797e-12
"(10, 310.1118481127528)",92.99999970072754,1.548190387277913e-25,1.4948440365096522e-29,3.971889227456797e-12,-3.971889227456792e-12
"(11, 310.1118481127528)",92.99999970072754,2.0859070692340726e-23,5.253824560330149e-27,3.971889227456797e-12,-3.971889227455168e-12
"(12, 310.1118481127528)",92.99999970072754,1.3428965948089777e-21,7.03276278172726e-25,3.971889227456797e-12,-3.9718892272387024e-12
"(13, 310.1118481127528)",92.99999970072754,4.8445975882008757e-20,4.476215963648116e-23,3.971889227456797e-12,-3.971889213575521e-12
"(14, 310.1118481127528)",92.99999970072754,1.1002026465994515e-18,1.5875110472338633e-21,3.971889227456797e-12,-3.971888735150812e-12
"(15, 310.1118481127528)",92.99999970072754,1.4644426571635871e-18,3.5245165157838066e-20,3.971889227456797e-12,-3.971878297513492e-12
"(16, 310.1118481127528)",92.99999992439497,0.0,5.345725485988816e-19,3.971889227456797e-12,-3.971723450175801e-12
"(17, 310.1118481127528)",92.99999992439497,0.0,5.9221524934099416e-18,3.971889227456797e-12,-3.97005269780226e-12
"(18, 310.1118481127528)",92.99999992439497,1.3212594627712904e-14,5.0480527446171645e-17,3.971889227456797e-12,-3.956234617796758e-12
"(19, 310.1118481127528)",93.00000000000074,7.234724107989693e-14,3.4498491258365524e-16,3.971889227456797e-12,-3.864905318644463e-12
"(20, 310.1118481127528)",92.99999970075594,8.144778591021068e-14,1.953475696574719e-15,7.943778454913594e-12,-7.33798249640546e-12
"(21, 310.1118481127528)",92.99999992439497,1.4887846077637101e-12,9.413096319753915e-15,4.2201323041728465e-12,-1.3010196079906086e-12
"(22, 310.1118481127528)",92.9999999999814,5.951662188265105e-12,3.945116157160229e-14,4.840739995962971e-12,7.393532629201427e-12
"(23, 310.1118481127528)",92.99999999859077,2.0792229122126068e-11,1.4643077832803524e-13,1.1295059990580266e-11,3.411485929731557e-11
"(24, 310.1118481127528)",92.99999999987212,6.484529757455837e-11,4.886419527227697e-13,2.358309228802473e-11,1.2795056673625776e-10
"(25, 310.1118481127528)",92.99999992403,1.8861404107375526e-10,1.4846814868754715e-12,4.108422919650624e-11,4.1933309055723596e-10
"(26, 310.1118481127528)",92.9999999233257,5.054085465158773e-10,4.15160534807546e-12,1.1195762759893846e-10,1.1755043795275308e-9
"(27, 310.1118481127528)",92.99999992162466,1.2648479087986337e-9,1.0782226826729505e-11,2.950368966770252e-10,3.048659391330963e-9
"(28, 310.1118481127528)",92.99999999188633,2.9784501200617597e-9,2.6212924774477072e-11,7.37902545538458e-10,7.39103600071519e-9
"(29, 310.1118481127528)",92.99999990897777,6.638913719776739e-9,6.005853979856938e-11,1.7456453154672623e-9,1.6879219456420404e-8
"(30, 310.1118481127528)",92.99999989092808,1.4080108179759083e-8,1.304470402643579e-10,3.913427982890167e-9,3.653974475432853e-8
"(31, 310.1118481127528)",92.99999993081441,2.85422916895732e-8,2.6996953332599535e-10,8.369018845328187e-9,7.535173206853364e-8
"(32, 310.1118481127528)",92.99999978756047,5.552448269941256e-8,5.347627690993844e-10,1.7112388250344177e-8,1.4872388237695923e-7
"(33, 310.1118481127528)",92.99999973996155,1.0402384855519417e-7,1.0178500697418523e-9,3.359696975967346e-8,2.8205039646966666e-7
"(34, 310.1118481127528)",92.99999952210085,1.8682347513732665e-7,1.8680696362615545e-9,6.35223002931782e-8,5.157882270112102e-7
"(35, 310.1118481127528)",92.99999915405115,3.296664606765406e-7,3.3161004490210196e-9,1.1607151186627684e-7,9.122905269071609e-7
"(36, 310.1118481127528)",92.99999854674378,5.62124631261079e-7,5.709243976003797e-9,2.0554079914550836e-7,1.5649634015796301e-6
"(37, 310.1118481127528)",92.99999749779292,9.32156026131148e-7,9.556719993712545e-9,3.536026515789524e-7,2.61004944756734e-6
"(38, 310.1118481127528)",92.99999604820246,1.4966483496880694e-6,1.5587278662496555e-8,5.923246133306348e-7,4.241475179744649e-6
"(39, 310.1118481127528)",92.99999364126627,2.3786971672638734e-6,2.4820918147158996e-8,9.68020029886547e-7,6.729240768584294e-6
"(40, 310.1118481127528)",92.99999022815317,3.6838487102829963e-6,3.865640657943344e-8,1.5462608205027737e-6,1.0441548865243305e-5
"(41, 310.1118481127528)",92.99998504083317,5.192630362889762e-6,5.8976188680343916e-8,2.4180290657680533e-6,1.587118580053981e-5
"(42, 310.1118481127528)",92.99997775633834,8.18586995534591e-6,8.826999603224944e-8,3.707334967020504e-6,2.3666236635445725e-5
"(43, 310.1118481127528)",92.99996727273209,1.1426496971161469e-5,1.2977839621691367e-7,5.580465638656832e-6,3.4665352657279356e-5
"(44, 310.1118481127528)",92.99995285826832,1.726984358701453e-5,1.8765686396875336e-7,8.256899487364768e-6,4.993771740902879e-5
"(45, 310.1118481127528)",92.99993298795555,2.352254771905772e-5,2.6716136160973236e-7,1.202225208857381e-5,7.082765150453973e-5
"(46, 310.1118481127528)",92.99990611828702,3.3004551525311665e-5,3.748548426868251e-7,1.7243294768475007e-5,9.900363327115154e-5
"(47, 310.1118481127528)",92.99987025475713,4.568150459737953e-5,5.188355069389579e-7,2.4385206877245025e-5,0.0001365118310461122
"(48, 310.1118481127528)",92.99982280467434,6.242348976634798e-5,7.089854806618768e-7,3.403118339258211e-5,0.00018583361430058086
"(49, 310.1118481127528)",92.99976127674078,8.428131775438835e-5,9.572394979302759e-7,4.690451490016461e-5,0.0002499467948895169
