T_mu,sigma,ω₀,n_B,P,e
"(1, 390.1118481127528)",92.99999970072754,4.234931687894409e-81,3.981247548479383e-242,3.971889227456797e-12,-3.971889227456797e-12
"(2, 390.1118481127528)",92.99999970072754,6.766399334181496e-81,1.7456851011226577e-122,3.971889227456797e-12,-3.971889227456797e-12
"(3, 390.1118481127528)",92.99999970072754,7.510351541982908e-61,1.7251098525476152e-82,3.971889227456797e-12,-3.971889227456797e-12
"(4, 390.1118481127528)",92.99999970072754,8.636066166819164e-49,1.949904850352329e-62,3.971889227456797e-12,-3.971889227456797e-12
"(5, 390.1118481127528)",92.99999970072754,9.976694279979524e-41,2.2656677906123143e-50,3.971889227456797e-12,-3.971889227456797e-12
"(6, 390.1118481127528)",92.99999970072754,5.941651867314016e-35,2.6351179295457665e-42,3.971889227456797e-12,-3.971889227456797e-12
"(7, 390.1118481127528)",92.99999970072754,1.0233203168443103e-30,1.576791201225929e-36,3.971889227456797e-12,-3.971889227456797e-12
"(8, 390.1118481127528)",92.99999970072754,2.5040761920661428e-27,3.486518370310669e-32,3.971889227456797e-12,-3.971889227456797e-12
"(9, 390.1118481127528)",92.99999970072754,1.3113977005190598e-24,8.527090805487271e-29,3.971889227456797e-12,-3.971889227456764e-12
"(10, 390.1118481127528)",92.99999970072754,2.239781088729882e-22,4.456072047043255e-26,3.971889227456797e-12,-3.971889227439413e-12
"(11, 390.1118481127528)",92.99999970072754,1.6534081310469298e-20,7.568006045998927e-24,3.971889227456797e-12,-3.971889224504429e-12
"(12, 390.1118481127528)",92.99999999999491,6.411138103886119e-19,5.526155584936783e-22,7.943778454913594e-12,-7.943778239331716e-12
"(13, 390.1118481127528)",92.99999970072754,1.5000728704301163e-17,2.106168962920567e-20,3.971889227456797e-12,-3.971881011042131e-12
"(14, 390.1118481127528)",92.99999970074312,2.0053498475577304e-17,4.812827629708574e-19,1.1915667682370391e-11,-1.1915479928262263e-11
"(15, 390.1118481127528)",92.99999992439497,1.0447813385394998e-17,7.300247097866957e-18,3.971889227456797e-12,-3.969041314569768e-12
"(16, 390.1118481127528)",92.99999992439497,2.4775484853826417e-14,7.933775225403818e-17,3.971889227456797e-12,-3.940938630299863e-12
"(17, 390.1118481127528)",92.99999970074356,1.536380715342547e-13,6.549666521908933e-16,7.943778454913594e-12,-7.688268203775181e-12
"(18, 390.1118481127528)",92.99999999999535,8.661085964830189e-13,4.298553787192024e-15,4.096010765814822e-12,-2.4190940036812686e-12
"(19, 390.1118481127528)",92.99999999999464,1.003800935847213e-12,2.3249264291197207e-14,4.468375380888897e-12,4.601438079011875e-12
