T_mu,sigma,ω₀,n_B,P,e
"(1, 290.1118481127528)",92.99999999999444,9.57574936566138e-96,1.4810121290559189e-285,3.971889227456797e-12,-3.971889227456797e-12
"(2, 290.1118481127528)",92.99999999999444,1.5299737725498883e-95,3.366986090117874e-144,3.971889227456797e-12,-3.971889227456797e-12
"(3, 290.1118481127528)",92.99999999999444,7.064894128980533e-72,5.758823019508627e-97,3.971889227456797e-12,-3.971889227456797e-12
"(4, 290.1118481127528)",92.99999999999444,1.2056825596599653e-57,2.7080153007742825e-73,3.971889227456797e-12,-3.971889227456797e-12
"(5, 290.1118481127528)",92.99999999999444,3.904374232522235e-48,4.669886531468969e-59,3.971889227456797e-12,-3.971889227456797e-12
"(6, 290.1118481127528)",92.99999999999444,2.5148116879380997e-41,1.5225036170465186e-49,3.971889227456797e-12,-3.971889227456797e-12
"(7, 290.1118481127528)",92.99999999999444,2.5829160255653684e-36,9.852960827713856e-43,3.971889227456797e-12,-3.971889227456797e-12
"(8, 290.1118481127528)",92.99999999999444,2.533756178323933e-32,1.2993020729235172e-37,3.971889227456797e-12,-3.971889227456797e-12
"(9, 290.1118481127528)",92.99999999999444,4.025261823207611e-29,1.2743994207641777e-33,3.971889227456797e-12,-3.971889227456797e-12
"(10, 290.1118481127528)",92.99999999999444,1.7010253301149897e-26,2.0230473543489512e-30,3.971889227456797e-12,-3.971889227456796e-12
"(11, 290.1118481127528)",92.99999999999444,2.6646119632386952e-24,8.52802114361691e-28,3.971889227456797e-12,-3.97188922745655e-12
"(12, 290.1118481127528)",92.99999999999444,1.9478783411741165e-22,1.3283141744479367e-25,3.971889227456797e-12,-3.971889227418261e-12
"(13, 290.1118481127528)",92.99999999999444,7.83246839188168e-21,9.610912587380536e-24,3.971889227456797e-12,-3.971889224668558e-12
"(14, 290.1118481127528)",92.99999999999444,1.953568570505744e-19,3.8044775615157636e-22,3.971889227456797e-12,-3.9718891170843955e-12
"(15, 290.1118481127528)",92.99999999999444,3.3057250585569483e-18,9.290503035100398e-21,3.971889227456797e-12,-3.971886532171792e-12
"(16, 290.1118481127528)",92.99999999999444,4.062359899756062e-17,1.531572753189091e-19,3.971889227456797e-12,-3.9718447947166025e-12
"(17, 290.1118481127528)",92.99999999999444,3.821431265770721e-16,1.826181905426377e-18,3.971889227456797e-12,-3.971359430449223e-12
"(18, 290.1118481127528)",92.99999999999444,2.868038617789917e-15,1.6617804763347485e-17,3.971889227456797e-12,-3.967068205405325e-12
"(19, 290.1118481127528)",93.00000030070579,5.375365838897676e-15,1.20405757276693e-16,3.971889227456797e-12,-3.93695809068984e-12
"(20, 290.1118481127528)",92.99999999999444,7.772193873120593e-14,7.186423533366937e-16,3.971889227456797e-12,-3.7634025661981906e-12
"(21, 290.1118481127528)",93.00000030073912,4.459136180956603e-13,3.6317676721816444e-15,3.971889227456797e-12,-2.91827039616403e-12
"(22, 290.1118481127528)",92.99999999999721,1.6977195100626688e-12,1.58944707898553e-14,2.2341876904444484e-12,2.3769866051746384e-12
"(23, 290.1118481127528)",92.99999999998516,6.007524337880179e-12,6.137400872222063e-14,5.461347687753096e-12,1.234397940873854e-11
"(24, 290.1118481127528)",92.99999999994638,1.9645237575135298e-11,2.1236269441819172e-13,7.199049224765445e-12,5.4409884523099934e-11
"(25, 290.1118481127528)",92.99999999985931,5.853285682978887e-11,6.671097476458099e-13,1.8618230753703734e-11,1.749182110298543e-10
"(26, 290.1118481127528)",92.99999999960843,1.6127485983585062e-10,1.92372506725831e-12,5.386874764738281e-11,5.042266868757552e-10
"(27, 290.1118481127528)",92.99999999894241,4.110408997236478e-10,5.140537177577652e-12,1.4273976911172863e-10,1.3485909717676378e-9
