T_mu,sigma,ω₀,n_B,P,e
"(1, 250.1118481127528)",92.99999999490393,2.1215742137582814e-101,6.291864826167695e-303,1.9859446137283985e-12,-1.9859446137283985e-12
"(2, 250.1118481127528)",92.99999999490393,3.3897638500702234e-101,6.939875763794877e-153,1.9859446137283985e-12,-1.9859446137283985e-12
"(3, 250.1118481127528)",92.99999999490393,4.387725298510465e-76,9.326971440681236e-103,1.9859446137283985e-12,-1.9859446137283985e-12
"(4, 250.1118481127528)",92.99999999490393,5.532937654154582e-61,1.2294370900796448e-77,1.9859446137283985e-12,-1.9859446137283985e-12
"(5, 250.1118481127528)",92.99999999490393,6.797256806060906e-51,1.5665726389691328e-62,1.9859446137283985e-12,-1.9859446137283985e-12
"(6, 250.1118481127528)",92.99999999490393,1.1347539044190101e-43,1.937590418262632e-52,1.9859446137283985e-12,-1.9859446137283985e-12
"(7, 250.1118481127528)",92.99999999490393,2.380754067128229e-38,3.2500078364351175e-45,1.9859446137283985e-12,-1.9859446137283985e-12
"(8, 250.1118481127528)",92.99999999490393,4.0702334533805215e-34,8.754642224090289e-40,1.9859446137283985e-12,-1.9859446137283985e-12
"(9, 250.1118481127528)",92.99999999490393,1.0082194087020759e-30,1.4966106845533856e-35,1.9859446137283985e-12,-1.9859446137283985e-12
"(10, 250.1118481127528)",92.99999999490393,6.124790941225683e-28,3.7053511038909834e-32,1.9859446137283985e-12,-1.9859446137283985e-12
"(11, 250.1118481127528)",92.99999999490393,1.2972962424397532e-25,2.2469689840457e-29,1.9859446137283985e-12,-1.985944613728393e-12
"(12, 250.1118481127528)",92.99999999490393,1.2230990788725544e-23,4.738644973022532e-27,1.9859446137283985e-12,-1.9859446137272135e-12
"(13, 250.1118481127528)",92.99999999490393,6.111758588371244e-22,4.4307338068699465e-25,1.9859446137283985e-12,-1.9859446136175805e-12
"(14, 250.1118481127528)",92.99999999490393,1.8391773564416925e-20,2.185020158532288e-23,1.9859446137283985e-12,-1.985944608263404e-12
"(15, 250.1118481127528)",92.99999999490393,3.6664224904736963e-19,6.455388967160616e-22,1.9859446137283985e-12,-1.985944452271472e-12
"(16, 250.1118481127528)",92.99999999490393,5.2059371797050555e-18,1.2571966106009093e-20,1.9859446137283985e-12,-1.9859414693307213e-12
"(17, 250.1118481127528)",92.99999999490393,6.711686794734e-18,1.7365063813232893e-19,1.9859446137283985e-12,-1.9859011816463693e-12
"(18, 250.1118481127528)",93.0,1.2217094840077584e-16,1.800845454448087e-18,0.0,4.504127847774612e-16
"(19, 250.1118481127528)",93.0,1.4522579975969617e-16,1.466711383621771e-17,0.0,3.6684189480565386e-15
"(20, 250.1118481127528)",93.0,0.0,9.725799255160093e-17,0.0,2.4325376260817252e-14
"(21, 250.1118481127528)",93.0,0.0,5.406196894537988e-16,0.0,1.352153896554321e-13
"(22, 250.1118481127528)",92.99999999283973,3.66261147425922e-13,2.5800077024592746e-15,-3.971889227456797e-12,4.617179722064023e-12
"(23, 250.1118481127528)",92.9999999928474,1.517628042885179e-12,1.0781790888603633e-14,2.482430767160498e-13,2.4484105683978442e-12
"(24, 250.1118481127528)",92.99999999283925,5.300585862012291e-12,4.011023102002203e-14,-4.964861534320996e-12,1.4996905542968172e-11
"(25, 250.1118481127528)",92.9999984396902,1.6794844460092438e-11,1.3468749659738483e-13,-6.206076917901245e-13,3.430754638344215e-11
"(26, 250.1118481127528)",92.99999999273571,4.899714938353934e-11,4.1304612327329806e-13,8.812629223419768e-12,9.449510002427273e-11
"(27, 250.1118481127528)",92.99999999672202,1.3173654547225307e-10,1.1684499025908235e-12,3.351281535666672e-11,2.587303492074901e-10
"(28, 250.1118481127528)",92.99999843912485,3.3384584553906103e-10,3.0752827941459186e-12,8.812629223419768e-11,6.810383708789883e-10
"(29, 250.1118481127528)",92.99999843792774,8.041096713872187e-10,7.586387388804182e-12,2.1597147674296334e-10,1.6814738935701315e-9
"(30, 250.1118481127528)",92.99999843542338,1.807910057786256e-9,1.7654107650082227e-11,5.276406595599639e-10,3.887860831583589e-9
"(31, 250.1118481127528)",92.99999998310524,3.892567877950966e-9,3.8971319015528036e-11,1.206088988224928e-9,8.541099634140454e-9
"(32, 250.1118481127528)",92.99999997679036,8.083584033249365e-9,8.20085733764769e-11,2.626287630117449e-9,1.7885028218163483e-8
"(33, 250.1118481127528)",92.99999995173586,1.588638292547103e-8,1.6521811435829414e-10,5.452162693914602e-9,3.5870845229942483e-8
"(34, 250.1118481127528)",92.99999992053998,3.0234758083731306e-8,3.1988296930576466e-10,1.0874039732469846e-8,6.913248090038994e-8
"(35, 250.1118481127528)",92.9999998447398,5.606171431145625e-8,5.972041371549252e-10,2.0902191181029753e-8,1.284656392633705e-7
"(36, 250.1118481127528)",92.99999973054368,1.0009408087492533e-7,1.0783363575632991e-9,3.882211415993124e-8,2.3088258511739974e-7
"(37, 250.1118481127528)",92.99999797304828,1.7211308063923207e-7,1.8881965523989606e-9,6.986342144481297e-8,4.0239690787581937e-7
"(38, 250.1118481127528)",92.99999919945826,2.8969728361020274e-7,3.2139669053189406e-9,1.2212926354584026e-7,6.817219389167048e-7
"(39, 250.1118481127528)",92.99999868436764,4.760500394446299e-7,5.329313705369728e-9,2.0784437077589495e-7,1.1250801292467503e-6
"(40, 250.1118481127528)",92.99999631713841,7.697145955436609e-7,8.625377484512038e-9,3.4501170342304004e-7,1.8122973998983926e-6
"(41, 250.1118481127528)",92.99999664413345,1.2030182559536373e-6,1.3649642364571069e-8,5.596429157948134e-7,2.854294362086182e-6
"(42, 250.1118481127528)",92.99999480823132,1.8629359832890707e-6,2.115382736278588e-8,8.884686741298136e-7,4.402354182234683e-6
"(43, 250.1118481127528)",92.9999921219903,2.6230118358530807e-6,3.215180611237373e-8,1.3825541928885307e-6,6.658993454040165e-6
"(44, 250.1118481127528)",92.99998825446114,4.121087582205857e-6,4.798864081229315e-8,2.111541088326732e-6,9.890986553654984e-6
"(45, 250.1118481127528)",92.9999827992677,5.745144321146519e-6,7.04216289707565e-8,3.1690696278986316e-6,1.444421414108785e-5
"(46, 250.1118481127528)",92.99997518801707,8.671313661430204e-6,1.017141346062639e-7,4.679021671271686e-6,2.0760888514290284e-5
"(47, 250.1118481127528)",92.99996474786673,1.1808434237337717e-5,1.447429566010841e-7,6.80323420332785e-6,2.9398694173473266e-5
"(48, 250.1118481127528)",92.9999506139626,1.6570920614966095e-5,2.0311956635767726e-7,9.750301164813164e-6,4.105230896476642e-5
"(49, 250.1118481127528)",92.99993014337267,2.295114642130833e-5,2.813258098705574e-7,1.3785936856061414e-5,5.6576981372480616e-5
"(50, 250.1118481127528)",92.99990669937088,3.139798092105152e-5,3.848636066396168e-7,1.924485176166269e-5,7.701409616631138e-5
"(51, 250.1118481127528)",92.99987403444294,4.245694893917561e-5,5.204199125327653e-7,2.654419801610603e-5,0.00010361898810214108
"(52, 250.1118481127528)",92.99983021752118,5.6784787226417555e-5,6.960447920280576e-7,3.619889531072815e-5,0.000137890153992666
"(53, 250.1118481127528)",92.99977765387892,7.516511641500367e-5,9.213432497370777e-7,4.883855498959014e-5,0.00018160030794835992
"(54, 250.1118481127528)",92.99970897515419,9.852521911082468e-5,1.207681833525093e-6,6.522648417409389e-5,0.000236829051141065
"(55, 250.1118481127528)",92.99962260592537,0.00012795377045673366,1.5684049779588231e-6,8.628045601296782e-5,0.0003059962116135548
"(56, 250.1118481127528)",92.99951487933194,0.00016471954677135637,2.0190648247035406e-6,0.00011309554196336947,0.0003918964928026844
"(57, 250.1118481127528)",92.99938156909222,0.0002102909697970127,2.5776606868039167e-6,0.00014696888446399708,0.0004977345937201182
"(58, 250.1118481127528)",92.99921627973752,0.0002663564312408315,3.264888540499207e-6,0.00018942650656676718,0.0006271608001796377
"(59, 250.1118481127528)",92.99901657909142,0.0003348452080633822,4.104396026524477e-6,0.0002422521075131061,0.0007843059680675699
"(60, 250.1118481127528)",92.9987762048565,0.0004179490537090394,5.12304853272236e-6,0.00030751785877707494,0.000973817277713441
"(61, 250.1118481127528)",92.9984849897052,0.0005181442333102699,6.3512000580960055e-6,0.00038761715651218227,0.0012008932277520327
"(62, 250.1118481127528)",92.99813501984967,0.0006382137824278712,7.822964221847535e-6,0.00048529931898270295,0.0014713167202635273
"(63, 250.1118481127528)",92.99771971072097,0.0007812700529165453,9.576490082518771e-6,0.0006037061977008753,0.0017914874352713433
"(64, 250.1118481127528)",92.99722957448328,0.000950777484359272,1.1654243351229213e-5,0.0007464105435185288,0.0021684537994131714
"(65, 250.1118481127528)",92.99665320722488,0.0011505755286226227,1.410328537659286e-5,0.0009174562165441651,0.002609942553457036
"(66, 250.1118481127528)",92.99597752599081,0.00138490103698694,1.697555179764021e-5,0.0011214001181222605,0.0031243865147192957
"(67, 250.1118481127528)",92.99519009297506,0.001658411000949378,2.032812526951278e-5,0.0013633556181047433,0.003720949361720649
"(68, 250.1118481127528)",92.99427811988116,0.001976204658549049,2.4223508319826886e-5,0.001649037747378987,0.004409548686267559
"(69, 250.1118481127528)",92.99322299218893,0.0023438459493774232,2.8729904868679344e-5,0.0019848096509741497,0.005200879951834815
"(70, 250.1118481127528)",92.99200933653627,0.0027673848773152264,3.392147179046612e-5,0.0023777309912410005,0.00610643100897709
"(71, 250.1118481127528)",92.99061888851797,0.003253377240303156,3.9878567386138886e-5,0.002835605649620935,0.007138496539415211
"(72, 250.1118481127528)",92.98903121988738,0.00380890796719097,4.6688036284246316e-5,0.0033670344359743305,0.008310196603833777
"(73, 250.1118481127528)",92.98722748898778,0.004441608399897569,5.4443418881527446e-5,0.003981465294998085,0.009635478819037485
"(74, 250.1118481127528)",92.98518275382274,0.0051596782446240545,6.32452252926468e-5,0.004689246352171585,0.011129133830079723
"(75, 250.1118481127528)",92.98287358120031,0.005971902248113501,7.320113488902803e-5,0.005501679648825457,0.012806791482220248
"(76, 250.1118481127528)",92.98027421422451,0.0068876693780923716,8.442623376321764e-5,0.0064310757796980245,0.014684925576019628
"(77, 250.1118481127528)",92.9773572649314,0.007916990074607664,9.70432258054374e-5,0.007490809365084985,0.01678085118793615
"(78, 250.1118481127528)",92.974092275962,0.00907051356022475,0.00011118265070490037,0.008695375387123243,0.019112722858754046
"(79, 250.1118481127528)",92.97045284275552,0.010359541200425385,0.00012698301835097498,0.01006044623778764,0.021699511160910318
"(80, 250.1118481127528)",92.9664008908862,0.01179604804656199,0.00014459113871659874,0.011602929455141612,0.024561027469994296
"(81, 250.1118481127528)",92.96190657512824,0.013392689441718677,0.0001641621164530693,0.013341026158392116,0.02771786417778599
"(82, 250.1118481127528)",92.95693403242437,0.015162820869246259,0.00018585965569036693,0.015294290021880274,0.031191411952437312
"(83, 250.1118481127528)",92.95144298958034,0.01712051166193056,0.00020985622857790052,0.01748368692081777,0.03500384224677322
"(84, 250.1118481127528)",92.94539555110029,0.01928055359426056,0.0002363331390224467,0.019931655083687393,0.039178063087504884
"(85, 250.1118481127528)",92.93874945049048,0.02165847741919758,0.0002654807670607175,0.022662165746963406,0.04373771954098387
"(86, 250.1118481127528)",92.93146458908889,0.024270559335917583,0.00029749859943396686,0.025700784463455983,0.04870714005192902
"(87, 250.1118481127528)",92.92349647834652,0.02713383736666905,0.0003325954790158482,0.029074732745411398,0.054111337185188686
"(88, 250.1118481127528)",92.91479651667842,0.030266123113179055,0.0003709897563932499,0.03281295044141877,0.05997598316099691
"(89, 250.1118481127528)",92.90531703667253,0.033686006754788056,0.0004129093046371899,0.036946158354981426,0.0663273509307778
"(90, 250.1118481127528)",92.89501217924136,0.03741286398728709,0.00045859158255721536,0.04150692165696964,0.07319226658536754
"(91, 250.1118481127528)",92.88382742972662,0.0414668801180596,0.0005082840539377246,0.04652971367925061,0.08059815041735582
"(92, 250.1118481127528)",92.87171142469732,0.04586904309290221,0.0005622439669183754,0.05205098025544616,0.08857289740075415
"(93, 250.1118481127528)",92.85860908270892,0.050641162197409204,0.0006207386671320321,0.05810920471543863,0.0971448905160008
"(94, 250.1118481127528)",92.84446799975827,0.05580586443996879,0.0006840454581974677,0.06474497338505136,0.10634290035785206
