T_mu,sigma,omega,n_B,P,epsilon
"(88.48484848484848, 500.0)",90.76290361845513,0.7316029953607812,0.007317784326938631,0.6217993454377289,3.037092818031587
"(89.6969696969697, 500.0)",90.6139865176023,0.8029468375053044,0.00803139382975634,0.6913746513125268,3.3243222635656426
"(90.9090909090909, 500.0)",90.45989166401439,0.8792849801683343,0.008794958314108052,0.7669695445209193,3.6305096125331073
"(92.12121212121211, 500.0)",90.30059695822038,0.9608023698979953,0.009610327688826028,0.8489405295536679,3.956223314859346
"(93.33333333333333, 500.0)",90.1360767225576,1.0476803010500815,0.01047931533232589,0.9376534082115882,4.302004257951357
"(94.54545454545455, 500.0)",89.96630132569847,1.140095948915576,0.011403693422327523,1.0334829260324376,4.668363785131324
"(95.75757575757576, 500.0)",89.79123675685473,1.2382219609787262,0.012385188851279294,1.1368124108547062,5.055782014784941
"(96.96969696969697, 500.0)",89.6108442066391,1.3422261097621215,0.01342547974296598,1.2480334079297108,5.464706463553279
"(98.18181818181819, 500.0)",89.4250795503563,1.4522710178658464,0.014526192703014333,1.3675453164283184,5.8955510350788485
"(99.39393939393939, 500.0)",89.23389271395229,1.5685139616054842,0.015688900889265237,1.4957550320695916,6.348695412563026
"(100.6060606060606, 500.0)",89.03722718657653,1.6911067434333402,0.016915122692550386,1.6330766007343165,6.824484745540877
"(101.81818181818183, 500.0)",88.83501936239283,1.8201956526256249,0.018206321328427928,1.779930887981724,7.32322977623224
"(103.03030303030303, 500.0)",88.62719765597866,1.9559215204447362,0.019563905475236527,1.9367452692415101,7.845207468376754
"(104.24242424242425, 500.0)",88.41368189662253,2.0984198440418926,0.02098923042007405,2.103953345636581,8.390661864400444
"(105.45454545454545, 500.0)",88.19438238432774,2.2478210131962633,0.02248360037439673,2.281994689997369,8.959805497200994
"(106.66666666666666, 500.0)",87.96919899107392,2.4042506196353934,0.02404827155367196,2.4713146277658438,9.552821149070137
"(107.87878787878788, 500.0)",87.73802015261076,2.5678298567782765,0.025684456185721627,2.6723640573423713,10.169864035518442
"(109.0909090909091, 500.0)",87.50072180450695,2.7386760065304037,0.02739332736972803,2.8855993142566585,10.811064370607356
"(110.30303030303031, 500.0)",87.25716621713522,2.916903014098428,0.029176024831138875,3.1114820834259906,11.476530332143446
"(111.51515151515152, 500.0)",87.00720074631744,3.1026221490201196,0.03103366153208594,3.3504793638438937,12.166351402199075
"(112.72727272727273, 500.0)",86.75065648850881,3.295942751094982,0.03296733113277038,3.603063489834831,12.88060207655036
"(113.93939393939394, 500.0)",86.48734683119181,3.4969730606972513,0.03497811629649317,3.8697122130302746,13.61934593521631
"(115.15151515151514, 500.0)",86.21706589410582,3.705821132086416,0.03706709782496305,4.150908849258848,14.382640063222674
"(116.36363636363637, 500.0)",85.93958685390905,3.9225958288911067,0.03923536461553031,4.447142494605187,15.170539813159964
"(117.57575757575758, 500.0)",85.65466014704083,4.147407900807657,0.04148402443069414,4.758908314897981,15.98310390044909
"(118.7878787878788, 500.0)",85.36201154707912,4.380371140378869,0.04381421546880001,5.08670791319649,16.820399821203516
"(120.0, 500.0)",85.0613401165311,4.621603618223328,0.04622711871914656,5.431049779718702,17.682509579854578
"(0.0, 510.06711409395973)",92.99999999967689,0.0,0.0,3.971889227456797e-12,-3.971889227456797e-12
"(1.2121212121212122, 510.06711409395973)",92.99999999967689,2.642134180711723e-155,2.6427678008520928e-157,3.971889227456797e-12,-3.971889227456797e-12
"(2.4242424242424243, 510.06711409395973)",92.99999999967689,5.187221258204523e-78,5.1884651656042654e-80,3.971889227456797e-12,-3.971889227456797e-12
"(3.6363636363636367, 510.06711409395973)",92.99999999967689,3.931997524984544e-52,3.9329404186506845e-54,3.971889227456797e-12,-3.971889227456797e-12
"(4.848484848484849, 510.06711409395973)",92.99999999967689,3.8875925418757714e-39,3.88852478438786e-41,3.971889227456797e-12,-3.971889227456797e-12
"(6.0606060606060606, 510.06711409395973)",92.99999999967689,2.632572649518441e-31,2.6332039380805854e-33,3.971889227456797e-12,-3.971889227456797e-12
"(7.272727272727273, 510.06711409395973)",92.99999999964604,4.6038998659489224e-26,4.605003876175079e-28,3.971889227456797e-12,-3.971889227456562e-12
"(8.484848484848484, 510.06711409395973)",92.99999999967001,2.6526943563735303e-22,2.6533304693318505e-24,3.971889227456797e-12,-3.9718892261034205e-12
"(9.696969696969697, 510.06711409395973)",92.99999999981881,1.8028857449453908e-19,1.803318074498423e-21,1.1915667682370391e-11,-1.1915666762557145e-11
"(10.90909090909091, 510.06711409395973)",92.99999999965706,2.9388646249988264e-17,2.9395693608985173e-19,0.0,1.4993776605925322e-16
"(12.121212121212121, 510.06711409395973)",92.9999999997851,1.7598060447719709e-15,1.760228043790661e-17,7.943778454913594e-12,-7.934800110529158e-12
"(13.333333333333332, 510.06711409395973)",92.99999998642005,5.078852521699898e-14,5.080070447383779e-16,3.971889227456797e-12,-3.712771540207691e-12
"(14.545454545454547, 510.06711409395973)",92.99999999981264,8.468462512824767e-13,8.470493238035296e-15,4.096010765814822e-12,2.2450927506224206e-13
"(15.75757575757576, 510.06711409395973)",93.00000000001145,5.067046117793461e-12,9.252652058196646e-14,1.4894584602962989e-12,4.570527687010271e-11
"(16.96969696969697, 510.06711409395973)",92.99999998594048,7.242514098111716e-11,7.24425086343928e-13,2.023181075235806e-11,3.492736024163569e-10
"(18.181818181818183, 510.06711409395973)",92.99999998357089,4.3418366035216554e-10,4.342877780517221e-12,8.688507685061743e-11,2.1282740595205827e-9
"(19.393939393939394, 510.06711409395973)",92.99999999739919,1.2932488564434674e-9,2.0949312881076114e-11,4.181654627281859e-10,1.0267390100773724e-8
"(20.606060606060606, 510.06711409395973)",92.99999998935326,5.375866596579202e-9,8.44647027802682e-11,1.7483759893111387e-9,4.133429120062432e-8
"(21.81818181818182, 510.06711409395973)",92.99999986597834,1.847808571924913e-8,2.9318966908073974e-10,6.400823611584986e-9,1.43145584778591e-7
"(23.030303030303028, 510.06711409395973)",92.99999941639611,8.966983896108302e-8,8.969134165732145e-10,2.0660154181231603e-8,4.368258838024214e-7
"(24.242424242424242, 510.06711409395973)",92.99999838673116,2.4632817673226354e-7,2.463872462077611e-9,5.973026317480217e-8,1.1970100530527042e-6
"(25.454545454545457, 510.06711409395973)",92.99999600081827,6.169389656806646e-7,6.1708690674804885e-9,1.5708461942130395e-7,2.9904727572801534e-6
"(26.666666666666664, 510.06711409395973)",92.99999077174284,1.4263703964346278e-6,1.4267124379781993e-8,3.8046466254578105e-7,6.896726296269196e-6
"(27.87878787878788, 510.06711409395973)",92.999980138919,3.075756978083564e-6,3.076494540046738e-8,8.576973311908606e-7,1.4834489584483777e-5
"(29.090909090909093, 510.06711409395973)",92.999959786452,6.239204618099445e-6,6.240700770244463e-8,1.8154727416659514e-6,3.0016289576359496e-5
"(30.303030303030305, 510.06711409395973)",92.99992284261235,1.1992230984206849e-5,1.1995106713884836e-7,3.634853449967105e-6,5.7548241198036084e-5
"(31.51515151515152, 510.06711409395973)",92.99985891404616,2.197465684127858e-5,2.197992633175107e-7,6.926921192180083e-6,0.00010518545472816093
"(32.72727272727273, 510.06711409395973)",92.99975271121873,3.8589005314345006e-5,3.859825892913718e-7,1.2631867949291564e-5,0.0001842451574610726
"(33.93939393939394, 510.06711409395973)",92.99958279280762,6.523370651053575e-5,6.524934950114249e-7,2.2144404005292247e-5,0.00031067106996026674
"(35.15151515151515, 510.06711409395973)",92.99931980961485,0.00010655772528809997,1.065832776735976e-6,3.746342109157666e-5,0.0005061828274448944
"(36.36363636363637, 510.06711409395973)",92.99892471433154,0.00016879392222814336,1.6883439892327314e-6,6.13887657371052e-5,0.0007997799804487176
"(37.57575757575758, 510.06711409395973)",92.99834711125827,0.00026002646218862896,2.600888161501245e-6,9.771721699950529e-5,0.0012289103016185794
"(38.78787878787879, 510.06711409395973)",92.9975229608312,0.0003905802330382074,3.906738936004853e-6,0.00015150464642103284,0.0018411944081854696
"(40.0, 510.06711409395973)",92.99637299285273,0.000573268817385722,5.7340628665676625e-6,0.00022929935932163598,0.00269545753906187
"(41.21212121212121, 510.06711409395973)",92.99480079649992,0.000823879271439354,8.240768364674169e-6,0.0003394897947266559,0.0038638551429594973
"(42.42424242424242, 510.06711409395973)",92.99269109116847,0.0011615004669462022,1.161778993036762e-5,0.0004926195742550119,0.005433233007677465
"(43.63636363636364, 510.06711409395973)",92.98990848870844,0.0016087934132650009,1.609179199540217e-5,0.000701698619085294,0.007506195284609772
"(44.84848484848485, 510.06711409395973)",92.98629644309048,0.0021924174890238166,2.1929432274862034e-5,0.0009826007052852904,0.010202881528872526
"(46.060606060606055, 510.06711409395973)",92.98167675615947,0.0029433521005441583,2.9440579122887408e-5,0.001354439570691442,0.013662231659774619
"(47.27272727272727, 510.06711409395973)",92.97584968757243,0.0038972290504637208,3.898163600208714e-5,0.00183996805725636,0.01804328252098943
"(48.484848484848484, 510.06711409395973)",92.96859468169127,0.0050946552766801614,5.095876971057513e-5,0.0024659901614157227,0.023526402442636023
"(49.696969696969695, 510.06711409395973)",92.95967204841115,0.006581525849205561,6.583104101121083e-5,0.003263783911204601,0.03031446519518481
"(50.909090909090914, 510.06711409395973)",92.94882544910311,0.008409327331201184,8.411343876281868e-5,0.0042695334011850035,0.03863396556508493
"(52.121212121212125, 510.06711409395973)",92.93578470230639,0.010635431742936324,0.00010637982104479492,0.005524768323941972,0.04873607999420845
"(53.33333333333333, 510.06711409395973)",92.92027042289575,0.013323379358010728,0.000133265742853852,0.0070768098039749195,0.06089766306107711
"(54.54545454545455, 510.06711409395973)",92.90199839176704,0.01654314808147257,0.00016547115103840115,0.008979220153457194,0.0754221723225058
"(55.75757575757576, 510.06711409395973)",92.88068476206203,0.020371407325789223,0.00020376292359048016,0.011292255992806456,0.09264051040233778
"(56.96969696969697, 510.06711409395973)",92.85605139119406,0.024891750139506456,0.00024897719144261995,0.014083321897033856,0.11291175561732263
"(58.18181818181819, 510.06711409395973)",92.82783096823346,0.030194898638650214,0.00030202139348193185,0.01742742251527421,0.13662375805269103
"(59.3939393939394, 510.06711409395973)",92.79577182078833,0.036378875612714585,0.0003638759924733964,0.021407610256694777,0.16419356711228592
"(60.60606060606061, 510.06711409395973)",92.75964175140032,0.043549136741121,0.0004355957978915211,0.026115425495971345,0.19606766604601256
"(61.81818181818181, 510.06711409395973)",92.71923096329441,0.05181865680372303,0.0005183108284425072,0.03165132570625417,0.23272198276106498
"(63.03030303030304, 510.06711409395973)",92.67435387352643,0.0613079649781779,0.0006132266654779731,0.03812509978629628,0.2746616557595155
"(64.24242424242425, 510.06711409395973)",92.62484994676525,0.07214512441610701,0.0007216242473198063,0.04565626391879333,0.3224205333718462
"(65.45454545454545, 510.06711409395973)",92.57058321782144,0.08446565582255057,0.0008448591056150882,0.05437443514990027,0.37656041066719165
"(66.66666666666667, 510.06711409395973)",92.51144097501354,0.098412402793778,0.00098436001941971,0.0644196793452218,0.4376699949896639
"(67.87878787878788, 510.06711409395973)",92.44733195177632,0.11413533728714685,0.0011416270677170356,0.07594283006996008,0.5063635937320178
"(69.0909090909091, 510.06711409395973)",92.3781838475098,0.13179130945737097,0.0013182291284512724,0.08910577612465036,0.5832795511390859
"(70.3030303030303, 510.06711409395973)",92.30394078170167,0.15154373679908759,0.0015158007676235158,0.1040817126024453,0.6690784104806903
"(71.51515151515152, 510.06711409395973)",92.22456050709607,0.17356224805416773,0.0017360386802924657,0.12105536060484207,0.7644408790074223
"(72.72727272727273, 510.06711409395973)",92.14001196759398,0.1980222622182211,0.0019806974766292825,0.14022314185387658,0.8700655039436096
"(73.93939393939394, 510.06711409395973)",92.05027284162688,0.22510452733621258,0.0022515850712092906,0.16179331863779264,0.9866661807709731
"(75.15151515151516, 510.06711409395973)",91.95532752770477,0.25499460670733776,0.002550557540357406,0.18598609078844106,1.1149694331522493
"(76.36363636363636, 510.06711409395973)",91.8551651448308,0.2878823263409944,0.002879513603118241,0.21303365152678688,1.255711542010034
"(77.57575757575758, 510.06711409395973)",91.7497783210391,0.32396117328259944,0.0032403885869134704,0.24318020100419702,1.409635454065761
"(78.78787878787878, 510.06711409395973)",91.63916145335895,0.36342767413374266,0.003635148235827232,0.27668191784546736,1.5774876521066776
"(80.0, 510.06711409395973)",91.52331006601466,0.4064807264019217,0.004065782001368694,0.3138068887990931,1.7600148031742004
"(81.21212121212122, 510.06711409395973)",91.4022198847941,0.4533209147911635,0.00453429620474009,0.3548349971795609,1.957960382419411
"(82.42424242424242, 510.06711409395973)",91.27588591875514,0.504149815878155,0.005042707102674351,0.4000577713467257,2.172061287735494
"(83.63636363636364, 510.06711409395973)",91.14430220763906,0.5591692784662338,0.005593033664296634,0.4497781946154121,2.403044345562737
"(84.84848484848484, 510.06711409395973)",91.00746119229673,0.618580714547775,0.00618729049288181,0.5043104786669539,2.651622927098265
"(86.06060606060606, 510.06711409395973)",90.86535335990011,0.6825843913232336,0.006827480740476861,0.5639798028431977,2.9184935949839255
"(87.27272727272728, 510.06711409395973)",90.71796687409159,0.7513787402980451,0.007515589198518019,0.629122022210783,3.2043328709930394
"(88.48484848484848, 510.06711409395973)",90.56528725022746,0.8251596899806768,0.008253575620502098,0.700083347553102,3.509794150152666
"(89.6969696969697, 510.06711409395973)",90.40729698689569,0.9041200339787709,0.009043368406216225,0.7772200012031187,3.8355048234440825
"(90.9090909090909, 510.06711409395973)",90.24397523964862,0.9884488386834319,0.009886858682092808,0.8608978524370958,4.182063622992793
"(92.12121212121211, 510.06711409395973)",90.07529742851403,1.0783309092281739,0.010785894913804647,0.9514920370809284,4.550038254524126
"(93.33333333333333, 510.06711409395973)",89.90123483063073,1.1739463000602153,0.011742278115652162,1.049386565795106,4.9399633455442515
"(94.54545454545455, 510.06711409395973)",89.72175411362701,1.2754699162458885,0.012757757725486195,1.1549739259867773,5.352338739361885
"(95.75757575757576, 510.06711409395973)",89.53681690669238,1.3830711587128264,0.013834028171248573,1.2686546824571405,5.787628143146158
"(96.96969696969697, 510.06711409395973)",89.34637911080674,1.4969136819460058,0.014972726396289073,1.3908370818573796,6.246258261216242
"(98.18181818181819, 510.06711409395973)",89.15039043800415,1.617155209009303,0.01617543000429311,1.5219366662798213,6.7286182352388115
"(99.39393939393939, 510.06711409395973)",88.94879367823857,1.7439474514518085,0.01744365647463466,1.6623759012600987,7.235059616003218
"(100.6060606060606, 510.06711409395973)",88.74152398527131,1.877436116536434,0.01877886323442106,1.812583823414102,7.76589675253221
"(101.81818181818183, 510.06711409395973)",88.52850810772446,2.017761008219709,0.020182448660915918,1.9729957128459883,8.321407630976896
"(103.03030303030303, 510.06711409395973)",88.30966357799741,2.165056222600228,0.021655754001185377,2.1440527954236805,8.901835151489665
"(104.24242424242425, 510.06711409395973)",88.08489764414807,2.319450448626013,0.023200066494026023,2.326201979787546,9.507388983608278
"(105.45454545454545, 510.06711409395973)",87.85410645187359,2.4810673479188083,0.02481662304198955,2.5198956339717187,10.138247662613555
"(106.66666666666666, 510.06711409395973)",87.61717389229872,2.6500260424983364,0.02650661514826115,2.72559140604438,10.794561287028422
"(107.87878787878788, 510.06711409395973)",87.37397046051171,2.826441691002022,0.028271194675354386,2.94375209345358,11.476454586592954
"(109.0909090909091, 510.06711409395973)",87.12435202314195,3.010426156671306,0.030111480523975914,3.17484556515388,12.184030406806988
"(110.30303030303031, 510.06711409395973)",86.86815848892088,3.202088765461767,0.032028566216100826,3.4193447409196387,12.917373597494207
"(111.51515151515152, 510.06711409395973)",86.60521238203434,3.401537151949641,0.03402352835512372,3.6777276317088354,13.67655528768313
"(112.72727272727273, 510.06711409395973)",86.33531730983184,3.6088781911640653,0.03609743594800417,3.950477445325011,14.461637534865037
"(113.93939393939394, 510.06711409395973)",86.05825632109298,3.8242190146867734,0.03825136056733152,4.238082761277699,15.272678333468576
"(115.15151515151514, 510.06711409395973)",85.77379014802499,4.047668108992976,0.04048638733800668,4.541037778880906,16.109736970706393
"(116.36363636363637, 510.06711409395973)",85.48165532946324,4.279336494243674,0.04280362672791275,4.859842642742355,16.97287971511918
"(117.57575757575758, 510.06711409395973)",85.18156221513641,4.519338981050923,0.04520422711833963,5.195003849770673,17.862185821328733
"(118.7878787878788, 510.06711409395973)",84.87319281814494,4.767795492326362,0.04768938824852329,5.547034741961108,18.777753894869562
"(120.0, 510.06711409395973)",84.55619878749556,5.024832512569385,0.050260374599515226,5.9164560892160285,19.71970813604006
"(0.0, 520.1342281879195)",92.99999999967689,0.0,0.0,3.971889227456797e-12,-3.971889227456797e-12
"(1.2121212121212122, 520.1342281879195)",92.99999999967689,1.0688846780750344e-151,1.0691410113319264e-153,3.971889227456797e-12,-3.971889227456797e-12
"(2.4242424242424243, 520.1342281879195)",92.99999999967689,3.2993072708925736e-76,3.30009845224454e-78,3.971889227456797e-12,-3.971889227456797e-12
"(3.6363636363636367, 520.1342281879195)",92.99999999967689,6.265252279882697e-51,6.266754688430499e-53,3.971889227456797e-12,-3.971889227456797e-12
"(4.848484848484849, 520.1342281879195)",92.99999999967689,3.1004500274226576e-38,3.1011935136010513e-40,3.971889227456797e-12,-3.971889227456797e-12
"(6.0606060606060606, 520.1342281879195)",92.99999999999604,1.386039354251963e-30,1.386371724435355e-32,3.971889227456797e-12,-3.971889227456797e-12
"(7.272727272727273, 520.1342281879195)",92.99999999965063,1.8377588927321372e-25,1.838199585333989e-27,3.971889227456797e-12,-3.9718892274558406e-12
"(8.484848484848484, 520.1342281879195)",92.99999999964129,8.688993985687714e-22,8.691077596132742e-24,7.943778454913594e-12,-7.943778450393067e-12
"(9.696969696969697, 520.1342281879195)",92.99999999980126,5.091434987676257e-19,5.092655906871316e-21,7.943778454913594e-12,-7.943775806048945e-12
"(10.90909090909091, 520.1342281879195)",92.999999999669,7.395281167423132e-17,7.397054546190704e-19,3.971889227456797e-12,-3.971504481331072e-12
"(12.121212121212121, 520.1342281879195)",92.9999999993868,4.037963634225946e-15,4.038931932991839e-17,7.943778454913594e-12,-7.922770587476891e-12
"(13.333333333333332, 520.1342281879195)",92.99999999968458,1.0806187735686379e-13,1.0808779044748448e-15,7.943778454913594e-12,-7.381576860304196e-12
"(14.545454545454547, 520.1342281879195)",92.99999998640047,1.6919436803793652e-12,1.6923494127601364e-14,4.2201323041728465e-12,4.5823562521298755e-12
