T_mu,σ,ω₀,n_B,P,ϵ
"(15.126050420168067, 460.1118481127528)",92.99999999999481,9.033531637326029e-14,1.0259988166235407e-15,1.1915667682370391e-11,-1.1443593470692236e-11
"(16.134453781512605, 460.1118481127528)",92.99999999999402,0.0,8.192286800343e-15,8.067899993271618e-12,-4.298531773296092e-12
"(17.142857142857142, 460.1118481127528)",92.99999999998542,4.536519795142041e-12,5.152429999993605e-14,8.812629223419768e-12,1.4894311672266716e-11
"(18.15126050420168, 460.1118481127528)",92.99999999992882,2.3378690671275347e-11,2.6552748056834687e-13,8.812629223419768e-12,1.1335971058560537e-10
"(19.159663865546218, 460.1118481127528)",92.99999999970649,1.0184858674697273e-10,1.1567627553923563e-12,2.2217755366086456e-11,5.100224938454908e-10
"(20.16806722689076, 460.1118481127528)",92.99999999887008,3.8457065445917176e-10,4.367827027393191e-12,9.209818146165448e-11,1.9175907843490584e-9
"(21.176470588235297, 460.1118481127528)",92.9999999962127,1.284325485194948e-9,1.4586946510761342e-11,3.129103982005808e-10,6.3987165191876915e-9
"(22.18487394957983, 460.1118481127528)",92.99999998861563,3.857024375933166e-9,4.380681448044241e-11,9.798154237982487e-10,1.9176218946730607e-8
"(23.19327731092437, 460.1118481127528)",92.99999996889414,1.0559962509790562e-8,1.1993658154561742e-10,2.7896315745966098e-9,5.2394610616683305e-8
"(24.201680672268907, 460.1118481127528)",92.99999992157338,2.6660739344313248e-8,3.028039100965472e-10,7.328383867734506e-9,1.3199528282255568e-7
"(25.210084033613445, 460.1118481127528)",92.99999981595083,6.266982700998709e-8,7.117832862240432e-10,1.7952070457336216e-8,3.095478528229768e-7
"(26.218487394957982, 460.1118481127528)",92.99999959452423,1.3827989697999847e-7,1.5705375965927129e-9,4.117707210719804e-8,6.81445883991636e-7
"(27.22689075630252, 460.1118481127528)",92.9999991556442,2.883968977017627e-7,3.275517124859677e-9,8.919013793946432e-8,1.4179140999046922e-6
"(28.235294117647058, 460.1118481127528)",92.99999832815611,5.719282464531106e-7,6.495772944768128e-9,1.834179967562658e-7,2.8053640977818156e-6
"(29.243697478991596, 460.1118481127528)",92.99999683610046,1.0840408349338737e-6,1.2312179316650197e-8,3.60053620292034e-7,5.304925959387498e-6
"(30.252100840336134, 460.1118481127528)",92.99999425168082,1.9726078089034364e-6,2.2404230801999793e-8,6.777830372193651e-7,9.630669002633421e-6
"(31.260504201680675, 460.1118481127528)",92.99998993438629,3.4595246787189425e-6,3.9292143637168856e-8,1.228296193260254e-6,1.685048463194925e-5
"(32.26890756302521, 460.1118481127528)",92.99998295488523,5.867493268095939e-6,6.664105901553626e-8,2.1504382960173695e-6,2.851190252781205e-5
"(33.27731092436975, 460.1118481127528)",92.99997200227625,9.652751409852595e-6,1.0963277620857401e-7,3.6482764496112955e-6,4.679506282544753e-5
"(34.285714285714285, 460.1118481127528)",92.9999552742127,1.5444075339463533e-5,1.7540872892581447e-7,6.014002560938353e-6,7.469363188022703e-5
"(35.294117647058826, 460.1118481127528)",92.99993034929744,2.4088210512832403e-5,2.7358597360334364e-7,9.655933917508786e-6,0.00011622421401485246
"(36.30252100840336, 460.1118481127528)",92.99989404236351,3.670170588302208e-5,4.1684590607347513e-7,1.5132458814607685e-5,0.00017666328140709394
"(37.3109243697479, 460.1118481127528)",92.99984224319209,5.4728946993347924e-5,6.215933823513341e-7,2.3191995870989357e-5,0.00026281048405733993
"(38.319327731092436, 460.1118481127528)",92.99976974009388,8.000601393495728e-5,9.086819963175577e-7,3.4819585034244614e-5,0.0003832757676382125
"(39.32773109243698, 460.1118481127528)",92.9996700300232,0.00011482983898937553,1.304199549480986e-6,5.129018574173633e-5,0.0005487874792777798
"(40.33613445378152, 460.1118481127528)",92.99953511726224,0.0001620320114169231,1.840306301491075e-6,7.422881355769083e-5,0.0007725179199149125
"(41.34453781512605, 460.1118481127528)",92.99935530326484,0.00022505647715080724,2.5561174577182137e-6,0.00010567758715281583,0.0010704223403111828
"(42.352941176470594, 460.1118481127528)",92.99911897001375,0.000308040311060254,3.4986205540507344e-6,0.00014816957739246343,0.001461587191577083
"(43.36134453781513, 460.1118481127528)",92.9988123596626,0.00041589669917133846,4.7236179416728946e-6,0.00020480917404677235,0.0019685834068749004
"(44.36974789915966, 460.1118481127528)",92.99841935353564,0.0005543992566338311,6.2966844428038685e-6,0.0002793588509661125,0.0026178202649951945
"(45.3781512605042, 460.1118481127528)",92.99792125272243,0.0007302668221357172,8.294130417773798e-6,0.0003763317837111847,0.0034398958912989163
"(46.38655462184874, 460.1118481127528)",92.99729656372173,0.0009512479076659456,1.0803960917656756e-5,0.0005010900732565217,0.00446994035150448
"(47.39495798319327, 460.1118481127528)",92.99652079115643,0.0012262040407505915,1.3926822257983439e-5,0.0006599479328178221,0.005747947994640758
"(48.403361344537814, 460.1118481127528)",92.99556624035043,0.0015651913103965263,1.7776928190751693e-5,0.0008602794311809579,0.007319095852433497
"(49.41176470588235, 460.1118481127528)",92.99440183207804,0.001979539514266055,2.248295883201462e-5,0.0011106302569482162,0.00923404548229297
"(50.42016806722689, 460.1118481127528)",92.99299293206164,0.0024819283990146603,2.818892657454387e-5,0.0014208328717990244,0.011549226230729044
"(51.42857142857142, 460.1118481127528)",92.99130119645153,0.0030864605851664176,3.505500434460496e-5,0.0018021245598785311,0.014327098274718234
"(52.436974789915965, 460.1118481127528)",92.98928443607764,0.003808730867885931,4.3258312697422844e-5,0.002267267831275282,0.017636394370175307
"(53.445378151260506, 460.1118481127528)",92.98689650077091,0.004665891683933181,5.299366336910786e-5,0.0028306726430105825,0.021552339748014727
"(54.45378151260504, 460.1118481127528)",92.98408718548751,0.005676714629030249,6.447425797049236e-5,0.0035085199966598435,0.02615684999384178
"(55.46218487394958, 460.1118481127528)",92.98080215939028,0.006861647997453816,7.793234150402243e-5,0.004318886415002658,0.031538707262167294
"(56.470588235294116, 460.1118481127528)",92.97698292011513,0.008242870393909014,9.361981126837724e-5,0.00528186885409124,0.03779371552856892
"(57.47899159663866, 460.1118481127528)",92.97256677358904,0.009844340533829921,0.00011180878247457779,0.006419709829800877,0.045024835709813874
"(58.48739495798319, 460.1118481127528)",92.96748684090105,0.011691843422398646,0.00013279211273210798,0.007756922205280342,0.05334230219868687
"(59.49579831932773, 460.1118481127528)",92.9616720934156,0.013813033095982096,0.0001568838874920555,0.009320413640419353,0.06286372177266349
"(60.50420168067227, 460.1118481127528)",92.95504741689982,0.016237472222025644,0.00018441986980948983,0.011139610214542474,0.07371415691221515
"(61.5126050420168, 460.1118481127528)",92.9475337051021,0.01899666879310776,0.0002157579171028273,0.01324657916597826,0.08602619481716171
"(62.52100840336135, 460.1118481127528)",92.93904798423523,0.022124110197980232,0.0002512783681211025,0.015676150673037768,0.09994000367391934
"(63.529411764705884, 460.1118481127528)",92.92950356751443,0.025655294931589766,0.0002913844030963318,0.018466038293859847,0.11560337792602471
"(64.53781512605042, 460.1118481127528)",92.91881024120705,0.029627762180390822,0.0003365023797634289,0.021656958365249074,0.13317177348204157
"(65.54621848739495, 460.1118481127528)",92.9068744805586,0.034081119490214855,0.00038708214760308407,0.025292747950036443,0.15280833435507193
"(66.5546218487395, 460.1118481127528)",92.89359969675333,0.03905706866922625,0.000443597342038777,0.02942048148588049,0.17468391137748612
"(67.56302521008404, 460.1118481127528)",92.87888651222221,0.044599430031776244,0.0005065456597906091,0.034090586114656506,0.1989770735650944
"(68.57142857142857, 460.1118481127528)",92.86263306436373,0.05075416501395609,0.0005764491157353025,0.039356955587551035,0.2258741123963811
"(69.57983193277312, 460.1118481127528)",92.84473533488611,0.05756939712783965,0.0006538542808975833,0.04527706278272589,0.2555690387974962
"(70.58823529411765, 460.1118481127528)",92.82508750286472,0.06509543117101639,0.0007393325006257551,0.05191207079608092,0.28826357243665823
"(71.59663865546219, 460.1118481127528)",92.80358231827203,0.07338477032306319,0.0008334800887678252,0.05932694248844131,0.32416712151970395
"(72.60504201680672, 460.1118481127528)",92.78011149277813,0.08249213129731692,0.0009369184997602731,0.06759054868726747,0.3634967537684595
"(73.61344537815127, 460.1118481127528)",92.75456610353211,0.09247445659278117,0.0010502944677813074,0.07677577458537536,0.40647715404808205
"(74.6218487394958, 460.1118481127528)",92.72683700551549,0.10339092412823833,0.001174280116171552,0.08695962460042576,0.45334056985332505
"(75.63025210084034, 460.1118481127528)",92.69681524757256,0.11530295295597595,0.0013095730223303696,0.09822332514470315,0.5043267383983265
"(76.63865546218487, 460.1118481127528)",92.66439248683528,0.12827420544439339,0.0014568962425020795,0.11065242553778824,0.5596827971083689
"(77.64705882352942, 460.1118481127528)",92.62946139582262,0.14237058474163028,0.0016169982829677767,0.12433689659939896,0.6196631717720529
"(78.65546218487395, 460.1118481127528)",92.59191605673833,0.15766022720621323,0.0017906530140857893,0.13937122680944927,0.6845294408302345
"(79.66386554621849, 460.1118481127528)",92.55165233753101,0.17421348920119353,0.001978659520289125,0.15585451556118143,0.7545501731049407
"(80.67226890756304, 460.1118481127528)",92.50856824397111,0.1921029277064096,0.002181841879894431,0.17389056354969756,0.8300007360983319
"(81.68067226890757, 460.1118481127528)",92.46256424293612,0.21140327423953653,0.0024010488689040245,0.19358795963072262,0.9111630728497426
"(82.6890756302521, 460.1118481127528)",92.41354355214388,0.23219140163185195,0.002637153583655965,0.21506016390036306,0.998325445232752
"(83.69747899159664, 460.1118481127528)",92.36141239260593,0.2545462832689132,0.0028910529778930333,0.23842558689085458,1.0917821417593865
"(84.70588235294119, 460.1118481127528)",92.30608020029453,0.27854894449859946,0.003163667310871266,0.2638076641462576,1.1918331490726235
"(85.71428571428572, 460.1118481127528)",92.24745979487643,0.3042824059951211,0.0034559395041070177,0.2913349260714807,1.2987837861290696
"(86.72268907563026, 460.1118481127528)",92.18546750360177,0.33183161898544866,0.0037688344057000426,0.32114106261536546,1.4129443010222094
"(87.73109243697479, 460.1118481127528)",92.12002324017688,0.361283392337563,0.004103337962225776,0.353364982485473,1.5346294307454456
"(88.73949579831933, 460.1118481127528)",92.0510505384171,0.3927263116444558,0.004460456299718098,0.3881508666872888,1.6641579248021763
"(89.74789915966386, 460.1118481127528)",91.9784765418577,0.42625065054174394,0.004841214716443863,0.42564821587261786,1.8018520344210247
"(90.7563025210084, 460.1118481127528)",91.90223195128608,0.46194827460678234,0.005246656591420693,0.46601189158318584,1.948036969108346
"(91.76470588235293, 460.1118481127528)",91.82225093238465,0.49991253830821414,0.005677842214003882,0.5094021509716534,2.103040323406277
"(92.77310924369748, 460.1118481127528)",91.73847098676706,0.5402381755599632,0.00613584754083453,0.555984675011339,2.267191476740126
"(93.78151260504201, 460.1118481127528)",91.65083278967661,0.5830211845394635,0.00662176288764293,0.60593058994169,2.440820970056137
"(94.78991596638654, 460.1118481127528)",91.55927999820757,0.6283587075030967,0.007136691564231902,0.659416482265764,2.6242598627636693
"(95.7983193277311, 460.1118481127528)",91.46375903392378,0.6763489064086737,0.007681748461837798,0.7166244069288452,2.81783907458464
"(96.80672268907563, 460.1118481127528)",91.36421884382491,0.7270908352150198,0.008258058602750898,0.7777418890587524,3.0218887164763806
"(97.81512605042016, 460.1118481127528)",91.2606106435811,0.7806843097766766,0.008866755662622797,0.8429619193299001,3.236737415363691
"(98.8235294117647, 460.1118481127528)",91.15288764694321,0.8372297762820793,0.00950898047623008,0.9124829431668338,3.462711637419473
"(99.83193277310924, 460.1118481127528)",91.04100478478186,0.8968281792191173,0.010185879537870528,0.9865088441237362,3.7001350146997445
"(100.84033613445378, 460.1118481127528)",90.9249184170352,0.959580829862503,0.010898603507686148,1.0652489216994396,3.9493276800701644
"(101.84873949579831, 460.1118481127528)",90.80458604072258,1.0255892762679917,0.011648305735104085,1.1489178640010222,4.2106056151600955
"(102.85714285714285, 460.1118481127528)",90.67996599668723,1.094955175758939,0.012436140810561935,1.2377357157883464,4.484280015949733
"(103.8655462184874, 460.1118481127528)",90.5510171771909,1.167780170876583,0.013263263156628055,1.331927842202145,4.770656680799773
"(104.87394957983193, 460.1118481127528)",90.41769873699296,1.2441657696956427,0.014130825668631886,1.4317248889136844,5.070035424839658
"(105.88235294117646, 460.1118481127528)",90.27996980903848,1.324213231421327,0.015039978415326387,1.5373627390956754,5.38270952515606
"(106.89075630252101, 460.1118481127528)",90.137789226907,1.408023458057249,0.015991867408487084,1.6490824680560987,5.708965200036992
"(107.89915966386555, 460.1118481127528)",89.99111525487021,1.4956968929341805,0.016987633450434376,1.76713029581422,6.0490811261271595
"(108.90756302521008, 460.1118481127528)",89.83990532729867,1.5873334267309147,0.01802841106664862,1.891757538703617,6.403327995708484
"(109.91596638655462, 460.1118481127528)",89.68411579798054,1.6830323116056511,0.019115327530507834,2.023220560348142,6.771968116994399
"(110.92436974789916, 460.1118481127528)",89.52370170083,1.7828920838739604,0.020249501985068818,2.1617807229716504,7.15525505874122
"(111.9327731092437, 460.1118481127528)",89.35861652278929,1.8870104955921114,0.021432044666052467,2.307704339492052,7.553433340640415
"(112.94117647058823, 460.1118481127528)",89.18881199038498,1.9954844552299642,0.02266405622798736,2.4612626273668385,7.966738169423771
"(113.94957983193277, 460.1118481127528)",89.01423787090941,2.1084099774971823,0.02394662717437136,2.6227316647075596,8.395395220559514
"(114.95798319327731, 460.1118481127528)",88.83484179002849,2.2258821421681056,0.02528083739001482,2.7923923494080856,8.839620463949613
"(115.96638655462185, 460.1118481127528)",88.65056906743253,2.347995061589742,0.026667755772005617,2.9705303619297454,9.29962003134729
"(116.97478991596638, 460.1118481127528)",88.46136257275138,2.4748418563149097,0.0281084399529606,3.157436132493149,9.77559012182989
"(117.98319327731092, 460.1118481127528)",88.26716260425242,2.6065146380714976,0.029603936107593914,3.353404812969251,10.26771694090764
"(118.99159663865547, 460.1118481127528)",88.06790679336795,2.7431044990043185,0.031155278830530535,3.5587362543377616,10.776176666845766
"(120.0, 460.1118481127528)",87.86353003862541,2.8847015058321777,0.03276349106994463,3.7737349899061647,11.30113543691173
"(0.0, 461.00288351272707)",92.99999999999402,0.0,0.0,7.943778454913594e-12,-7.943778454913594e-12
"(1.0084033613445378, 461.00288351272707)",93.00000000000774,1.1688036567070055e-207,1.3274887572251147e-209,7.943778454913594e-12,-7.943778454913594e-12
"(2.0168067226890756, 461.00288351272707)",93.00000000000774,2.8242205718267105e-104,3.207656851069819e-106,7.943778454913594e-12,-7.943778454913594e-12
"(3.0252100840336134, 461.00288351272707)",93.00000000000774,1.062115927781705e-69,1.2063163431219819e-71,7.943778454913594e-12,-7.943778454913594e-12
"(4.033613445378151, 461.00288351272707)",93.00000000000774,2.34197895996795e-52,2.659942686818486e-54,7.943778454913594e-12,-7.943778454913594e-12
"(5.04201680672269, 461.00288351272707)",93.00000000000774,6.440170292442257e-42,7.314533633333781e-44,7.943778454913594e-12,-7.943778454913594e-12
"(6.050420168067227, 461.00288351272707)",93.00000000000774,6.174350205238289e-35,7.0126239197733485e-37,7.943778454913594e-12,-7.943778454913594e-12
"(7.0588235294117645, 461.00288351272707)",93.00000000000774,6.2136396009037804e-30,7.0572475233393e-32,7.943778454913594e-12,-7.943778454913594e-12
"(8.067226890756302, 461.00288351272707)",93.00000000000774,3.608287314281404e-26,4.098174073131781e-28,7.943778454913594e-12,-7.943778454913405e-12
"(9.07563025210084, 461.00288351272707)",93.00000000000774,3.1195004656428745e-23,3.543026044190184e-25,7.943778454913594e-12,-7.94377845475026e-12
"(10.08403361344538, 461.00288351272707)",93.00000000000774,7.094761189955635e-21,8.057996448524985e-23,7.943778454913594e-12,-7.943778417765998e-12
"(11.092436974789916, 461.00288351272707)",93.00000000000774,6.100428808386073e-19,6.928666428131275e-21,7.943778454913594e-12,-7.943775260778392e-12
"(12.100840336134453, 461.00288351272707)",92.99999999999402,0.0,2.8691522406032207e-19,7.943778454913594e-12,-7.943646186167978e-12
"(13.109243697478991, 461.00288351272707)",92.99999999999402,0.0,6.766825159768895e-18,7.943778454913594e-12,-7.940658929002714e-12
"(14.117647058823529, 461.00288351272707)",92.99999999999402,0.0,1.0247814550566367e-16,7.943778454913594e-12,-7.896535734338445e-12
"(15.126050420168067, 461.00288351272707)",92.99999999999481,9.033531637326029e-14,1.0882533737407394e-15,1.1915667682370391e-11,-1.1413979739083456e-11
"(16.134453781512605, 461.00288351272707)",92.99999999999402,0.0,8.65743770833976e-15,8.067899993271618e-12,-4.0767962458951736e-12
"(17.142857142857142, 461.00288351272707)",92.99999999999402,0.0,5.4273209616649536e-14,8.812629223419768e-12,1.6207476907346335e-11
"(18.15126050420168, 461.00288351272707)",92.99999999992532,2.455497684186485e-11,2.788873520725173e-13,1.7004650755049412e-11,1.1156322272561019e-10
"(19.159663865546218, 461.00288351272707)",92.99999999968442,1.066970221713778e-10,1.2118296905361205e-12,2.3210727672950657e-11,5.354462539905365e-10
"(20.16806722689076, 461.00288351272707)",92.999999998822,4.019421839771214e-10,4.565127147035441e-12,1.0004195991656807e-10,2.004494818469e-9
"(21.176470588235297, 461.00288351272707)",92.9999999960302,1.3395190044163672e-9,1.5213816351747115e-11,3.3016329203234627e-10,6.683449915356151e-9
"(22.18487394957983, 461.00288351272707)",92.99999998816286,4.015092520975171e-9,4.5602100491240284e-11,1.0156865483837178e-9,2.0007013272315202e-8
"(23.19327731092437, 461.00288351272707)",92.99999996767848,1.0973550650286341e-8,1.2463397963683706e-10,2.8946383960474988e-9,5.456198560020089e-8
"(24.201680672268907, 461.00288351272707)",92.99999991864651,2.7660613392649946e-8,3.141601507292681e-10,7.615104621341544e-9,1.37213630749644e-7
"(25.210084033613445, 461.00288351272707)",92.99999980932904,6.49244905172018e-8,7.373910128935115e-10,1.8593654689108845e-8,3.2134572853117046e-7
"(26.218487394957982, 461.00288351272707)",92.99999958049065,1.430601698098585e-7,1.6248303634057404e-9,4.260459391985369e-8,7.064468888292249e-7
"(27.22689075630252, 461.00288351272707)",92.99999912755166,2.9799133735629304e-7,3.3844876153234123e-9,9.215701507083618e-8,1.4681015348063703e-6
"(28.235294117647058, 461.00288351272707)",92.99999827453746,5.90264974001714e-7,6.704035466237071e-9,1.8929440686828812e-7,2.9012852742385916e-6
"(29.243697478991596, 461.00288351272707)",92.99999673821335,1.1175797621150344e-6,1.2693103422306821e-8,3.712012238950449e-7,5.480356054513664e-6
"(30.252100840336134, 461.00288351272707)",92.99999407985571,2.031573603779231e-6,2.3073944909303316e-8,6.980392999147797e-7,9.939115837287857e-6
"(31.260504201680675, 461.00288351272707)",92.99998964335059,3.5595543807378596e-6,4.0428248097996785e-8,1.2638074895060232e-6,1.7373731459038417e-5
"(32.26890756302521, 461.00288351272707)",92.99998247764822,6.03177283955489e-6,6.850689236490343e-8,2.210646675357927e-6,2.9371228245358585e-5
"(33.27731092436975, 461.00288351272707)",92.99997124248337,9.914712530930282e-6,1.126080444758495e-7,3.747297261631792e-6,4.816533594846424e-5
"(34.285714285714285, 461.00288351272707)",92.99995409660355,1.585071752618969e-5,1.8002723715840497e-7,6.172351482349371e-6,7.682072395850488e-5
"(35.294117647058826, 461.00288351272707)",92.99992856847945,2.4704104496518734e-5,2.805810949334959e-7,9.90281674628597e-6,0.00011944587707721385
"(36.30252100840336, 461.00288351272707)",92.99989140941435,3.761372265374889e-5,4.2720429263892274e-7,1.5508494572421775e-5,0.0001814339161831365
"(37.3109243697479, 461.00288351272707)",92.99983843030829,5.605174360492666e-5,6.366172712646294e-7,2.3752535689020343e-5,0.00026972986205797776
"(38.319327731092436, 461.00288351272707)",92.99976432303225,8.188829278904835e-5,9.300603005559352e-7,3.56387645972876e-5,0.0003931217157997121
"(39.32773109243698, 461.00288351272707)",92.99966246850089,0.00011746138254402481,1.334087755792323e-6,5.2465575501636086e-5,0.0005625527267776477
"(40.33613445378152, 461.00288351272707)",92.99952473339467,0.0001656514797542412,1.8814150326064193e-6,7.588688554237729e-5,0.0007914508695733733
"(41.34453781512605, 461.00288351272707)",92.99934125803976,0.00022995994216856228,2.611809400886743e-6,0.00010797996945062186,0.0010960716955438147
"(42.352941176470594, 461.00288351272707)",92.99910023798047,0.0003145904886900952,3.573015317546403e-6,0.00015132009407753752,0.0014958502701464965
"(43.36134453781513, 461.00288351272707)",92.9987877020489,0.0004245328303604804,4.821704279729753e-6,0.00020906177294585505,0.0020137578034552174
"(44.36974789915966, 461.00288351272707)",92.99838728998748,0.000565647579106202,6.424439190437348e-6,0.00028502633982889215,0.002676658651914895
"(45.3781512605042, 461.00288351272707)",92.99788003195557,0.000744751568336835,8.458643401824183e-6,0.000383795465268834,0.0035156635335780177
"(46.38655462184874, 461.00288351272707)",92.99724413315109,0.0009697027598813099,1.1013565060249447e-5,0.00051081021983832,0.004566475030691696
"(47.39495798319327, 461.00288351272707)",92.99645476593568,0.0012494839720657196,1.4191228062261616e-5,0.0006724750975469456,0.005869721959742389
"(48.403361344537814, 461.00288351272707)",92.99548387216089,0.0015942847399058385,1.8107361795757197e-5,0.0008762666380748835,0.007471279362577376
"(49.41176470588235, 461.00288351272707)",92.9942999778785,0.002015580706586798,2.2892302842260835e-5,0.0011308459310317368,0.009422571689497105
"(50.42016806722689, 461.00288351272707)",92.99286802286461,0.002526210041526638,2.8691862908192675e-5,0.0014461745536653871,0.011780856980363293
"(51.42857142857142, 461.00288351272707)",92.99114920701123,0.0031404464809169775,3.566815839530121e-5,0.0018336333744130415,0.014609490495409497
"(52.436974789915965, 461.00288351272707)",92.9891008552284,0.0038740686882899797,4.400039817525434e-5,0.0023061436620098546,0.01797816677249053
"(53.445378151260506, 461.00288351272707)",92.98667630302677,0.0047444257319684295,5.3885627260599585e-5,0.002878289972638588,0.02196313957438983
"(54.45378151260504, 461.00288351272707)",92.98382480399873,0.005770498571099419,6.553942514367844e-5,0.003566444341100152,0.026647419633902138
"(55.46218487394958, 461.00288351272707)",92.9804914610297,0.006972957529697387,7.919655856714943e-5,0.0043888913359941715,0.03212095052774629
"(56.470588235294116, 461.00288351272707)",92.97661718244194,0.008374215816524368,9.511158938552916e-5,0.0053659535796106005,0.03848076338259682
"(57.47899159663866, 461.00288351272707)",92.97213866427637,0.009998479214421324,0.0001135594389202561,0.006520117297362254,0.04583111149496321
"(58.48739495798319, 461.00288351272707)",92.96698839996859,0.01187179213655894,0.00013483591105148122,0.007876157630641692,0.05428358616515673
"(59.49579831932773, 461.00288351272707)",92.96109471850933,0.014022080238657714,0.00015925817619344198,0.00946126348720125,0.06395721496095345
"(60.50420168067227, 461.00288351272707)",92.95438185184831,0.016479189889805415,0.0001871652195913634,0.011305161551354378,0.0749785443735569
"(61.5126050420168, 461.00288351272707)",92.94677003220995,0.01927492474046022,0.0002189182566484432,0.01344023944940579,0.08748170811910574
"(62.52100840336135, 461.00288351272707)",92.93817562027199,0.02244307967421383,0.0002549011185391398,0.015901667818095454,0.10160848283906744
"(63.529411764705884, 461.00288351272707)",92.92851126409553,0.026019472405269042,0.00029552061108269764,0.01872752109099121,0.11750833275557557
"(64.53781512605042, 461.00288351272707)",92.91768608933668,0.030041972959269962,0.0003412068495768575,0.02195889718963295,0.1353384443395917
"(65.54621848739495, 461.00288351272707)",92.90560591969715,0.03455053124182224,0.00039241357191194514,0.025640035738995808,0.1552637524419398
"(66.5546218487395, 461.00288351272707)",92.8921735286465,0.03958720284331468,0.0004496184316535959,0.029818435026222775,0.17745695844655493
"(67.56302521008404, 461.00288351272707)",92.87728891937013,0.045196173181884194,0.0005133232722507132,0.03454496752227817,0.20209854115948922
"(68.57142857142857, 461.00288351272707)",92.86084963333212,0.051423780007157145,0.0005840543826253718,0.03987399403292692,0.2293767604856151
"(69.57983193277312, 461.00288351272707)",92.84275108424555,0.05831853422496822,0.0006623627336932635,0.04586347640580804,0.25948765375815896
"(70.58823529411765, 461.00288351272707)",92.82288691572778,0.06593113894992643,0.0007488241947563523,0.052575088869440435,0.29263502415733383
"(71.59663865546219, 461.00288351272707)",92.80114937923666,0.07431450640371028,0.0008440397254283498,0.06007432769422973,0.3290304195275299
"(72.60504201680672, 461.00288351272707)",92.77742972891483,0.08352377282599398,0.0009486355449879632,0.06843061961610739,0.36889310202601094
"(73.61344537815127, 461.00288351272707)",92.75161862899058,0.09361631041935159,0.0010632632680450517,0.07771742825672415,0.4124500042452104
"(74.6218487394958, 461.00288351272707)",92.72360656941615,0.10465173661119574,0.0011886000097351495,0.0880123591830231,0.45993567264813634
"(75.63025210084034, 461.00288351272707)",92.693284284601,0.1166919193050805,0.001325348445361528,0.09939726263705152,0.511592192333723
"(76.63865546218487, 461.00288351272707)",92.66054316955544,0.12980097852125724,0.0014742368290283426,0.11195833454904774,0.5676690946136774
"(77.64705882352942, 461.00288351272707)",92.62527568864893,0.14404528320906596,0.0016360189574367884,0.12578621506896603,0.6284232417908789
"(78.65546218487395, 461.00288351272707)",92.58737577036871,0.15949344292686254,0.001811474075388439,0.14097608462214917,0.6941186875404723
"(79.66386554621849, 461.00288351272707)",92.54673918311047,0.17621629377351708,0.0020014067159998287,0.1576277570899739,0.7650265100676847
"(80.67226890756304, 461.00288351272707)",92.5032638863303,0.19428687802682723,0.0022066464694422763,0.17584576989738754,0.8414246154086806
"(81.68067226890757, 461.00288351272707)",92.45685035206533,0.21378041697957345,0.0024280476744226293,0.1957394706848682,0.923597508530335
"(82.6890756302521, 461.00288351272707)",92.40740185223336,0.23477427652133917,0.0026664890272730594,0.21742310004486323,1.0118360303830638
"(83.69747899159664, 461.00288351272707)",92.3548247078432,0.25734792508525317,0.0029228731043240267,0.24101587025083998,1.1064370589843324
"(84.70588235294119, 461.00288351272707)",92.29902849686512,0.2815828836677168,0.003198125794244035,0.26664203935300324,1.2077031736299273
